step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	120.0	2.02941513	66.47613525	26.8	0.61724397	1.33e-06	38498	160.6	119.868104
2	198.0	2.03606415	49.21046448	32.86	0.60214384	2.67e-06	74566	377.4	98.790147
3	278.0	1.75942993	36.51027679	32.88	0.64687246	4e-06	25739	139.1	92.519059
4	359.0	2.26591492	62.9544487	32.88	0.57847111	5.33e-06	32353	180.1	89.818881
5	448.0	1.96479797	45.04483032	32.98	0.59218982	6.67e-06	66302	370.2	89.540196
6	539.0	1.58998871	24.37308884	32.98	0.64099561	8e-06	44459	247.4	89.864964
7	621.0	1.4672966	7.53219128	32.98	0.63549933	9.33e-06	34223	192.8	88.740286
8	712.0	1.28025055	11.86321068	32.98	0.67533935	1.067e-05	28101	157.8	89.020214
9	797.0	1.66692352	37.98218918	33.1	0.62243038	1.2e-05	66587	376.2	88.50694
10	886.0	1.6144104	18.92869186	33.12	0.62359545	1.333e-05	67200	379.3	88.592523
11	976.0	1.62076902	14.53076172	33.12	0.60639549	1.467e-05	39476	222.4	88.763165
12	1061.0	1.56233835	8.68418121	33.12	0.61567284	1.6e-05	59876	338.7	88.39227
13	1145.0	1.46458244	6.256814	33.33	0.62948064	1.733e-05	58481	332.0	88.062315
14	1237.0	1.34105778	28.1791954	33.33	0.65389958	1.867e-05	30234	171.1	88.3579
15	1324.0	1.28346062	5.18581867	33.33	0.66412951	2e-05	52817	299.3	88.246595
16	1401.0	1.37787437	5.45783424	33.33	0.65504389	2e-05	20663	118.0	87.557064
17	1491.0	1.3480525	4.21213388	33.33	0.6440928	2e-05	62863	358.5	87.686432
18	1575.0	1.35613251	3.83783865	33.33	0.65483395	1.999e-05	37594	214.9	87.483011
19	1655.0	1.47541285	17.51921844	33.33	0.63366303	1.999e-05	44143	253.4	87.117707
20	1740.0	1.41303205	3.31063557	33.33	0.63008888	1.998e-05	54001	310.4	86.985227
21	1823.0	1.31683636	4.49000168	33.33	0.6614945	1.998e-05	35412	204.0	86.788226
22	1913.0	1.19665051	7.683146	33.33	0.67967638	1.997e-05	36246	208.4	86.942789
23	1995.0	1.37360001	5.94808769	33.33	0.64244838	1.996e-05	43318	249.6	86.760644
24	2087.0	1.24372864	17.09291267	33.33	0.66957173	1.995e-05	62947	361.9	86.960089
25	2184.0	1.40783882	9.86078453	34.92	0.63850183	1.994e-05	86358	494.2	87.370704
26	2266.0	1.22162724	6.80848694	34.92	0.66829877	1.992e-05	35900	205.9	87.163582
27	2346.0	1.24427605	9.05325794	34.92	0.67940753	1.991e-05	55389	318.7	86.890594
28	2437.0	1.21537805	6.1642251	34.92	0.675833	1.989e-05	54815	314.9	87.038839
29	2527.0	1.27944183	6.6708312	34.92	0.66598346	1.988e-05	67681	388.4	87.120792
30	2613.0	1.29690695	48.17294312	34.92	0.65918907	1.986e-05	36269	208.2	87.10245
31	2702.0	1.35126173	5.17275524	34.92	0.64334487	1.984e-05	32066	183.9	87.174521
32	2787.0	1.2462244	26.07061958	34.92	0.66500377	1.982e-05	31464	180.6	87.095791
33	2867.0	1.31250167	20.6859417	34.92	0.665584	1.98e-05	53310	306.8	86.871792
34	2958.0	1.26147509	18.75597954	34.92	0.65940705	1.977e-05	64590	371.2	86.998219
35	3041.0	1.28464127	251.05889893	34.92	0.66211182	1.975e-05	52403	301.6	86.872727
36	3127.0	1.27019119	48.3645134	34.92	0.66106542	1.972e-05	18426	106.1	86.856692
37	3213.0	1.3981781	14.11616802	34.92	0.63886434	1.969e-05	32810	188.9	86.844001
38	3293.0	1.23910141	11.111063	34.92	0.66270897	1.967e-05	36362	209.8	86.653954
39	3375.0	1.27306843	5.57978296	34.92	0.66125484	1.964e-05	43573	251.7	86.548535
40	3462.0	1.39654529	9.43410301	34.92	0.63996029	1.961e-05	29449	170.1	86.542951
41	3554.0	1.26942444	10.96255398	34.92	0.66006692	1.957e-05	46049	265.6	86.682042
42	3642.0	1.21036339	8.22658348	34.92	0.67124539	1.954e-05	43756	252.3	86.711945
43	3723.0	1.20548344	7.98023081	34.92	0.68516118	1.951e-05	41696	240.8	86.576868
44	3808.0	1.09546185	4.57687855	34.92	0.70566131	1.947e-05	32963	190.4	86.551399
45	3905.0	1.25954914	11.28451252	34.92	0.65434487	1.943e-05	59358	342.0	86.774313
46	3999.0	1.31670761	8.34660339	34.92	0.64385206	1.94e-05	44464	255.7	86.940262
47	4087.0	1.26446819	4.28411102	34.92	0.67126818	1.936e-05	24922	143.3	86.959631
48	4174.0	1.32608986	33.30544281	34.92	0.65448094	1.932e-05	28511	163.9	86.967727
49	4262.0	1.25237918	5.38748789	37.77	0.66359402	1.928e-05	45876	263.7	86.979405
50	4349.0	1.12914181	33.9590416	37.77	0.68926625	1.923e-05	44033	253.1	86.987529
51	4447.0	1.29931736	7.37763166	37.77	0.66307704	1.919e-05	73850	423.5	87.191746
52	4537.0	1.2325592	11.90704346	37.77	0.67918585	1.914e-05	41751	239.3	87.249973
53	4624.0	1.22377968	6.91351748	37.77	0.66985727	1.91e-05	26133	149.8	87.246273
54	4715.0	1.16358185	19.70743561	37.77	0.68153485	1.905e-05	58192	333.2	87.316264
55	4800.0	1.30171299	41.6300354	37.77	0.66386615	1.9e-05	53263	305.1	87.277023
56	4889.0	1.44150805	390.48638916	37.77	0.63595506	1.895e-05	18346	105.1	87.295863
57	4969.0	1.20465469	57.88507843	37.77	0.68611578	1.89e-05	33080	189.7	87.180639
58	5059.0	1.18019199	4.18861008	37.77	0.68584402	1.885e-05	41347	237.0	87.218686
59	5149.0	1.1074276	789.57684326	37.77	0.6984657	1.88e-05	46379	265.7	87.265722
60	5232.0	1.17928314	27.39207649	37.77	0.68022342	1.874e-05	35044	200.9	87.20226
61	5323.0	1.36867523	10.18484783	37.77	0.64861928	1.869e-05	58212	333.6	87.259481
62	5408.0	1.20166111	26.61942101	37.77	0.68060878	1.863e-05	38639	221.5	87.227044
63	5495.0	1.19729424	23.99357986	37.77	0.68585207	1.857e-05	38434	220.3	87.218944
64	5582.0	1.36362171	4.56262541	37.77	0.63988968	1.852e-05	38423	220.3	87.222492
65	5670.0	1.30690002	4.92989826	37.77	0.65535162	1.846e-05	42570	244.0	87.229645
66	5752.0	1.22315025	4.86253548	37.77	0.67173588	1.84e-05	52815	303.0	87.154905
67	5830.0	1.26776671	10.24757862	37.77	0.66668856	1.833e-05	41681	239.5	87.01089
68	5911.0	1.2304306	10.61938477	37.77	0.67720846	1.827e-05	47838	275.2	86.92727
69	6000.0	1.18132782	10.74385262	37.77	0.68134143	1.821e-05	71930	413.6	86.955658
70	6081.0	1.18335915	10.43023205	37.77	0.67872409	1.814e-05	61592	354.5	86.864413
71	6179.0	1.18431091	71.65104675	37.77	0.68020225	1.808e-05	25583	147.0	87.022425
72	6265.0	1.31478882	4.09208536	37.77	0.65845766	1.801e-05	48835	280.6	87.017717
73	6354.0	1.24254608	9.89310074	37.77	0.67441443	1.794e-05	44396	255.0	87.035509
74	6437.0	1.20236886	18.03710556	37.77	0.68228461	1.787e-05	39232	225.5	86.990166
75	6522.0	1.29913235	14.19107819	37.77	0.66434049	1.78e-05	49256	283.2	86.956814
76	6604.0	1.19182396	230.30874634	37.77	0.69327233	1.773e-05	66891	384.9	86.897055
77	6693.0	1.26085186	7.68849945	37.77	0.6639441	1.766e-05	46653	268.4	86.92479
78	6776.0	1.40924835	12.15526199	37.77	0.642677	1.759e-05	44941	258.7	86.871017
79	6851.0	1.30236626	22.26216316	37.77	0.65835762	1.751e-05	38031	219.3	86.715981
80	6940.0	1.24571848	73.31271362	37.77	0.66285504	1.744e-05	38435	221.5	86.749486
81	7028.0	1.03846169	10.1899271	37.77	0.72761786	1.736e-05	24036	138.5	86.768771
82	7111.0	1.33960152	24.72251892	37.77	0.65703487	1.729e-05	49427	285.0	86.715402
83	7197.0	1.13680601	6.22808456	37.77	0.6910742	1.721e-05	58613	338.0	86.708129
84	7282.0	1.08064747	6.25265837	37.77	0.71098745	1.713e-05	57016	328.8	86.690618
85	7372.0	1.2781477	7.31550217	37.77	0.66049635	1.705e-05	85840	494.9	86.725798
86	7457.0	0.99398804	12.72016239	37.77	0.72160209	1.697e-05	24960	143.9	86.711254
87	7536.0	1.28694177	15.99346733	37.77	0.66449153	1.689e-05	47796	275.9	86.616848
88	7618.0	1.15313721	6.94578123	37.77	0.68884933	1.681e-05	29415	169.9	86.563811
89	7705.0	1.32174969	5.34368849	37.77	0.65146739	1.672e-05	67374	389.1	86.575201
90	7781.0	1.34405041	7.84852552	37.77	0.6522568	1.664e-05	33885	196.0	86.453514
91	7873.0	1.15197945	9.41366959	37.77	0.68145339	1.656e-05	23809	137.6	86.512089
92	7957.0	1.14443302	8.03776264	37.77	0.68719284	1.647e-05	45048	260.4	86.491264
93	8046.0	1.12989807	9.82148361	37.77	0.68858304	1.638e-05	58082	335.7	86.511961
94	8133.0	1.11632061	14.32656288	37.77	0.69479738	1.63e-05	53394	308.6	86.519276
95	8223.0	1.18146992	19.75756073	37.77	0.67596312	1.621e-05	60434	349.1	86.563045
