step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	6.0	1.92089844	32.75	64.91	0.64059804	4e-08	919	83.4	5.509417
2	8.0	2.71411133	69.0	64.91	0.53443907	8e-08	2166	276.6	3.915973
3	11.0	1.60546875	172.0	64.92	0.67532134	1.3e-07	11968	1700.9	3.51807
4	11.0	1.91992188	44.25	65.07	0.62871795	1.7e-07	221	38.5	2.871698
5	13.0	1.95141602	57.5	65.07	0.61967818	2.1e-07	670	128.8	2.601144
6	14.0	1.22607422	18.5	65.07	0.73767353	2.5e-07	1097	230.4	2.380783
7	16.0	2.44067383	74.0	65.07	0.5826819	3e-07	5148	1151.8	2.23486
8	17.0	1.40380859	31.125	65.08	0.73722317	3.4e-07	236	56.9	2.075074
9	17.0	2.859375	66.0	65.08	0.5078534	3.8e-07	778	200.4	1.940713
10	20.0	2.90917969	57.25	65.08	0.503432	4.2e-07	1289	328.4	1.962734
11	22.0	2.46777344	64.0	65.08	0.54431017	4.7e-07	929	227.8	2.038849
12	24.0	1.91455078	47.5	65.08	0.62898428	5.1e-07	1384	350.2	1.975895
13	25.0	2.2890625	53.0	65.08	0.57928457	5.5e-07	5735	1484.4	1.931792
14	28.0	2.06225586	99.0	65.08	0.58684023	5.9e-07	4836	1199.0	2.016642
15	30.0	1.50878906	115.5	65.08	0.68039681	6.4e-07	1036	257.3	2.013381
16	31.0	1.65014648	36.0	65.08	0.69202899	6.8e-07	86	22.1	1.949283
17	33.0	2.359375	68.5	65.08	0.5609651	7.2e-07	9609	2445.3	1.96477
18	38.0	1.98388672	49.25	70.68	0.57305577	7.6e-07	13702	3282.8	2.086932
19	38.0	1.12475586	44.25	70.68	0.73927393	8.1e-07	1351	333.7	2.024081
20	41.0	1.52685547	46.5	70.68	0.67724486	8.5e-07	7527	1851.8	2.032314
21	42.0	1.90136719	57.0	70.68	0.61577351	8.9e-07	698	174.4	2.001397
22	43.0	1.97900391	42.5	70.68	0.64355231	9.3e-07	985	252.5	1.950538
23	44.0	2.53027344	53.25	70.68	0.549493	9.7e-07	3550	927.7	1.913343
24	47.0	1.58154297	41.0	70.68	0.67431292	1.02e-06	12561	3212.7	1.954925
25	48.0	2.3684082	162.0	70.68	0.57831325	1.06e-06	851	221.4	1.921807
26	50.0	1.96777344	50.25	70.68	0.60481586	1.1e-06	1131	293.4	1.927453
27	52.0	2.82666016	41.5	70.68	0.46800281	1.14e-06	842	216.7	1.943041
28	54.0	2.01660156	46.0	70.68	0.63223787	1.19e-06	757	197.7	1.914852
29	55.0	0.99804688	20.0	70.68	0.79540122	1.23e-06	576	152.9	1.883357
30	58.0	2.46166992	62.75	70.68	0.54854263	1.27e-06	13587	3526.8	1.926244
31	59.0	1.60449219	39.5	70.68	0.66993785	1.31e-06	5902	1545.5	1.909441
32	60.0	1.35839844	30.375	70.68	0.69510582	1.36e-06	937	249.5	1.877481
33	62.0	1.19091797	488.0	70.68	0.69475277	1.4e-06	920	245.7	1.872368
34	64.0	1.78527832	46.5	70.68	0.66216216	1.44e-06	224	59.4	1.884473
35	65.0	0.97314453	12.1875	70.68	0.77720725	1.48e-06	468	125.1	1.871148
36	67.0	1.50195312	213.0	70.68	0.69162088	1.53e-06	2248	600.8	1.870753
37	69.0	2.66601562	57.0	70.68	0.53896529	1.57e-06	2017	543.5	1.855666
38	70.0	1.796875	42.75	70.74	0.65337763	1.61e-06	323	88.1	1.833613
39	71.0	2.23779297	40.75	70.74	0.55517241	1.65e-06	1244	343.9	1.808778
40	72.0	0.94091797	25.5	70.74	0.80927384	1.69e-06	750	209.0	1.794522
41	73.0	1.73242188	35.0	70.74	0.6567299	1.74e-06	1305	368.1	1.772767
42	74.0	1.98339844	54.5	70.74	0.58225508	1.78e-06	3226	910.7	1.771213
43	76.0	1.671875	115.0	70.74	0.69085631	1.82e-06	285	80.8	1.76386
44	77.0	2.11328125	52.5	70.74	0.57881773	1.86e-06	1621	464.6	1.744582
45	79.0	2.49511719	64.5	70.74	0.54203759	1.91e-06	8806	2515.8	1.750121
46	82.0	1.94836426	120.0	70.74	0.58927713	1.95e-06	806	226.3	1.780562
47	85.0	1.78344727	51.75	70.74	0.62814645	1.99e-06	1251	346.1	1.807479
48	86.0	1.33447266	33.25	70.74	0.75527157	2.03e-06	245	68.5	1.787786
49	87.0	2.09570312	37.0	70.74	0.62562352	2.08e-06	974	275.2	1.769753
50	88.0	1.06207275	26.125	70.74	0.74827403	2.12e-06	1967	560.9	1.753317
51	90.0	2.44140625	51.0	70.74	0.55844156	2.16e-06	1005	285.0	1.763236
52	94.0	2.25146484	264.0	70.74	0.5521148	2.2e-06	711	197.3	1.801698
53	95.0	2.84375	113.5	70.74	0.50306577	2.25e-06	6963	1936.0	1.798315
54	97.0	2.42041016	328.0	70.74	0.55946602	2.29e-06	2406	667.5	1.802259
55	98.0	1.08105469	20.75	70.74	0.77405858	2.33e-06	1603	448.7	1.786147
56	99.0	1.58691406	35.5	70.74	0.648582	2.37e-06	874	246.8	1.770659
57	101.0	2.64498901	50.0	70.74	0.54516618	2.42e-06	719	202.4	1.776103
58	103.0	1.53662109	53.5	70.74	0.66185785	2.46e-06	1405	396.6	1.771163
59	104.0	2.50488281	434.0	70.74	0.5468653	2.5e-06	7463	2107.8	1.770303
60	106.0	1.52392578	30.625	70.74	0.68198362	2.54e-06	605	171.1	1.76801
61	108.0	1.87695312	46.75	70.74	0.59711779	2.58e-06	1303	369.3	1.764379
62	109.0	1.78515625	42.25	70.74	0.60666667	2.63e-06	1170	333.4	1.754727
63	110.0	1.75097656	456.0	70.74	0.59460274	2.67e-06	2573	734.8	1.750816
64	111.0	1.91210938	57.25	70.74	0.65404475	2.71e-06	612	176.0	1.73832
65	114.0	1.69873047	37.0	70.74	0.61517187	2.75e-06	13696	3890.1	1.760357
66	116.0	1.72265625	75.0	70.74	0.6519337	2.8e-06	383	109.4	1.750635
67	117.0	1.60449219	120.5	70.74	0.64676221	2.84e-06	556	159.6	1.74211
68	118.0	1.64648438	38.5	70.74	0.66755319	2.88e-06	584	168.8	1.730201
69	119.0	1.77587891	27.75	70.78	0.65912073	2.92e-06	371	107.4	1.727113
70	122.0	2.45935059	58.75	70.78	0.52228446	2.97e-06	7184	2065.8	1.73876
71	125.0	1.84680176	60.0	70.78	0.60229446	3.01e-06	13640	3877.8	1.758725
72	126.0	1.73388672	36.5	70.78	0.60158894	3.05e-06	518	147.6	1.755003
73	129.0	2.06542969	40.75	70.78	0.59161349	3.09e-06	10063	2855.9	1.761779
74	132.0	1.80004883	30.75	70.78	0.5802904	3.14e-06	438	123.0	1.780897
75	133.0	1.60839844	23.75	70.78	0.66953659	3.18e-06	649	182.5	1.778007
76	134.0	1.42382812	29.875	70.78	0.65900168	3.22e-06	1393	393.6	1.769544
77	137.0	2.34350586	37.75	70.78	0.54059135	3.26e-06	7549	2129.0	1.772865
78	139.0	1.18579102	21.0	70.78	0.69506579	3.31e-06	827	231.9	1.782875
79	142.0	2.27661133	34.75	70.78	0.54214025	3.35e-06	7661	2135.0	1.794131
80	145.0	1.91845703	48.0	70.78	0.58683824	3.39e-06	790	218.3	1.809789
81	146.0	2.12036133	32.5	70.78	0.56691531	3.43e-06	2519	698.3	1.803706
82	147.0	1.48632812	30.75	70.78	0.65458539	3.47e-06	1085	302.6	1.792968
83	148.0	2.45861816	29.5	70.78	0.51020408	3.52e-06	432	120.9	1.786661
84	150.0	0.76916504	54.25	70.78	0.78884921	3.56e-06	1123	314.4	1.785976
85	153.0	1.55029297	23.375	70.78	0.64472818	3.6e-06	9333	2596.9	1.796974
86	154.0	2.35595703	28.875	70.78	0.54129725	3.64e-06	331	92.6	1.788038
87	156.0	1.56738281	322.0	70.78	0.6114639	3.69e-06	134	37.5	1.787626
88	159.0	1.4732666	13.625	70.78	0.62462305	3.73e-06	13598	3753.2	1.811519
89	161.0	1.03613281	13.1875	70.78	0.73586572	3.77e-06	1372	378.9	1.810432
90	162.0	1.49804688	24.875	70.78	0.65268456	3.81e-06	1419	393.3	1.803879
91	165.0	1.52197266	20.125	70.78	0.62866848	3.86e-06	8041	2210.7	1.81863
92	167.0	0.9921875	22.5	70.78	0.75813296	3.9e-06	183	50.5	1.813227
93	170.0	1.29199219	18.375	70.78	0.66837567	3.94e-06	3085	846.1	1.823101
94	172.0	1.23046875	18.875	70.78	0.69551507	3.98e-06	415	113.6	1.82604
95	173.0	1.28955078	23.0	70.78	0.6927593	4.03e-06	741	204.0	1.816413
96	173.0	1.1171875	18.875	70.78	0.73067633	4.07e-06	648	179.3	1.807001
