# Loss curve from /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_baseline_fsdp2/full_epoch/v0-20260425-045155/logging.jsonl
# 2354 steps, 2353 valid loss values
# elapsed: 4426s = 73.8min
# loss: first=1.9209  last=1.2576  min=0.2666  mean=1.2058
# NaN steps: 0

  step    elapsed      loss   grad_norm   mem_gib    tok/step  spark
     1         6s    1.9209     32.7500     64.91         919  ▅
     2         8s    2.7141     69.0000     64.91        2166  ▇
     3        11s    1.6055    172.0000     64.92       11968  ▄
     4        11s    1.9199     44.2500     65.07         221  ▅
     5        13s    1.9514     57.5000     65.07         670  ▅
     6        14s    1.2261     18.5000     65.07        1097  ▂
     7        16s    2.4407     74.0000     65.07        5148  ▆
     8        17s    1.4038     31.1250     65.08         236  ▃
     9        17s    2.8594     66.0000     65.08         778  ▇
    10        20s    2.9092     57.2500     65.08        1289  █
    11        22s    2.4678     64.0000     65.08         929  ▆
    12        24s    1.9146     47.5000     65.08        1384  ▄
    13        25s    2.2891     53.0000     65.08        5735  ▆
    14        28s    2.0623     99.0000     65.08        4836  ▅
    15        30s    1.5088    115.5000     65.08        1036  ▃
    16        31s    1.6501     36.0000     65.08          86  ▄
    17        33s    2.3594     68.5000     65.08        9609  ▆
    18        38s    1.9839     49.2500     70.68       13702  ▅
    19        38s    1.1248     44.2500     70.68        1351  ▂
    20        41s    1.5269     46.5000     70.68        7527  ▃
    21        42s    1.9014     57.0000     70.68         698  ▄
    22        43s    1.9790     42.5000     70.68         985  ▅
    23        44s    2.5303     53.2500     70.68        3550  ▆
    24        47s    1.5815     41.0000     70.68       12561  ▃
    25        48s    2.3684    162.0000     70.68         851  ▆
    26        50s    1.9678     50.2500     70.68        1131  ▅
    27        52s    2.8267     41.5000     70.68         842  ▇
    28        54s    2.0166     46.0000     70.68         757  ▅
    29        55s    0.9980     20.0000     70.68         576  ▂
    30        58s    2.4617     62.7500     70.68       13587  ▆
    31        59s    1.6045     39.5000     70.68        5902  ▄
    32        60s    1.3584     30.3750     70.68         937  ▃
    33        62s    1.1909    488.0000     70.68         920  ▂
    34        64s    1.7853     46.5000     70.68         224  ▄
    35        65s    0.9731     12.1875     70.68         468  ▂
    36        67s    1.5020    213.0000     70.68        2248  ▃
    37        69s    2.6660     57.0000     70.68        2017  ▇
    38        70s    1.7969     42.7500     70.74         323  ▄
    39        71s    2.2378     40.7500     70.74        1244  ▅
    40        72s    0.9409     25.5000     70.74         750  ▂
    41        73s    1.7324     35.0000     70.74        1305  ▄
    42        74s    1.9834     54.5000     70.74        3226  ▅
    43        76s    1.6719    115.0000     70.74         285  ▄
    44        77s    2.1133     52.5000     70.74        1621  ▅
    45        79s    2.4951     64.5000     70.74        8806  ▆
    46        82s    1.9484    120.0000     70.74         806  ▅
    47        85s    1.7834     51.7500     70.74        1251  ▄
    48        86s    1.3345     33.2500     70.74         245  ▃
    49        87s    2.0957     37.0000     70.74         974  ▅
    50        88s    1.0621     26.1250     70.74        1967  ▂
    51        90s    2.4414     51.0000     70.74        1005  ▆
    52        94s    2.2515    264.0000     70.74         711  ▆
    53        95s    2.8438    113.5000     70.74        6963  ▇
    54        97s    2.4204    328.0000     70.74        2406  ▆
    55        98s    1.0811     20.7500     70.74        1603  ▂
    56        99s    1.5869     35.5000     70.74         874  ▃
    57       101s    2.6450     50.0000     70.74         719  ▇
    58       103s    1.5366     53.5000     70.74        1405  ▃
    59       104s    2.5049    434.0000     70.74        7463  ▆
    60       106s    1.5239     30.6250     70.74         605  ▃
    61       108s    1.8770     46.7500     70.74        1303  ▄
    62       109s    1.7852     42.2500     70.74        1170  ▄
    63       110s    1.7510    456.0000     70.74        2573  ▄
    64       111s    1.9121     57.2500     70.74         612  ▄
    65       114s    1.6987     37.0000     70.74       13696  ▄
    66       116s    1.7227     75.0000     70.74         383  ▄
    67       117s    1.6045    120.5000     70.74         556  ▄
    68       118s    1.6465     38.5000     70.74         584  ▄
    69       119s    1.7759     27.7500     70.78         371  ▄
    70       122s    2.4594     58.7500     70.78        7184  ▆
    71       125s    1.8468     60.0000     70.78       13640  ▄
    72       126s    1.7339     36.5000     70.78         518  ▄
    73       129s    2.0654     40.7500     70.78       10063  ▅
    74       132s    1.8000     30.7500     70.78         438  ▄
    75       133s    1.6084     23.7500     70.78         649  ▄
    76       134s    1.4238     29.8750     70.78        1393  ▃
    77       137s    2.3435     37.7500     70.78        7549  ▆
    78       139s    1.1858     21.0000     70.78         827  ▂
    79       142s    2.2766     34.7500     70.78        7661  ▆
    80       145s    1.9185     48.0000     70.78         790  ▅
    81       146s    2.1204     32.5000     70.78        2519  ▅
    82       147s    1.4863     30.7500     70.78        1085  ▃
    83       148s    2.4586     29.5000     70.78         432  ▆
    84       150s    0.7692     54.2500     70.78        1123  ▁
    85       153s    1.5503     23.3750     70.78        9333  ▃
    86       154s    2.3560     28.8750     70.78         331  ▆
    87       156s    1.5674    322.0000     70.78         134  ▃
    88       159s    1.4733     13.6250     70.78       13598  ▃
    89       161s    1.0361     13.1875     70.78        1372  ▂
    90       162s    1.4980     24.8750     70.78        1419  ▃
    91       165s    1.5220     20.1250     70.78        8041  ▃
    92       167s    0.9922     22.5000     70.78         183  ▂
    93       170s    1.2920     18.3750     70.78        3085  ▃
    94       172s    1.2305     18.8750     70.78         415  ▂
    95       173s    1.2896     23.0000     70.78         741  ▃
    96       173s    1.1172     18.8750     70.78         648  ▂
    97       177s    1.5226     11.3750     70.78        6512  ▃
    98       178s    1.4385     16.8750     70.78        2235  ▃
    99       180s    1.4185     28.5000     70.78         840  ▃
   100       182s    1.2949     11.2500     70.78        1731  ▃
   101       183s    1.1138     15.3750     70.78        1535  ▂
   102       186s    1.3978     76.0000     70.78        1645  ▃
   103       187s    1.9351     22.3750     70.78        1199  ▅
   104       188s    1.1934     20.8750     70.78        1404  ▂
   105       189s    1.0669      9.8750     70.78         548  ▂
   106       190s    1.1709     15.4375     70.78        1332  ▂
   107       191s    2.3533     14.4375     70.78         963  ▆
   108       193s    1.6907     11.3750     70.78        2869  ▄
   109       195s    1.6938     19.1250     70.78        4957  ▄
   110       196s    1.1484      9.1875     70.78         626  ▂
   111       198s    2.0154     22.7500     70.79         364  ▅
   112       201s    1.0083      7.6875     70.79        5463  ▂
   113       204s    1.3643    243.0000     70.79         489  ▃
   114       206s    1.5942      9.3750     70.79       10517  ▄
   115       207s    0.5791      5.1875     70.79        2428   
   116       208s    0.9990      8.1250     70.79         289  ▂
   117       212s    0.9897      8.6875     70.79        1187  ▂
   118       213s    1.2598      7.5000     70.79         816  ▃
   119       216s    1.0430      8.2500     70.79        2194  ▂
   120       219s    1.7395     11.5000     70.79         886  ▄
   121       220s    1.2612      7.7812     70.79        1781  ▃
   122       221s    0.7056      7.1875     70.79        1383  ▁
   123       222s    1.6157     10.6250     70.79        1263  ▄
   124       224s    1.3555      7.5625     70.79         965  ▃
   125       227s    0.9137      6.0000     70.79         737  ▁
   126       229s    1.7213      7.6875     70.79        1424  ▄
   127       230s    1.4102     11.5000     70.79         236  ▃
   128       232s    1.1646      8.5000     70.79        1506  ▂
   129       233s    1.0635      8.5625     70.79        2446  ▂
   130       234s    1.2266      6.7188     70.79        4801  ▂
   131       237s    1.2734     12.0000     70.79         203  ▃
   132       240s    1.4473      6.0000     70.79        7455  ▃
   133       241s    1.3564     10.3750     70.79        3091  ▃
   134       242s    1.1177      6.7500     70.79        1460  ▂
   135       245s    1.5490     64.5000     70.79       13741  ▃
   136       246s    1.6237      9.3750     70.79        1522  ▄
   137       248s    1.0813      9.4375     70.79         519  ▂
   138       251s    1.4647     16.1250     70.79       13653  ▃
   139       253s    1.7542      6.3438     70.79       10249  ▄
   140       254s    0.9648      6.6875     70.79         633  ▂
   141       256s    0.9365    169.0000     70.79        2840  ▂
   142       258s    1.7502    240.0000     70.79         540  ▄
   143       262s    1.4323     10.0625     70.79        1982  ▃
   144       263s    0.8013      5.1250     70.79        1452  ▁
   145       266s    1.0391     19.3750     70.79        3828  ▂
   146       268s    0.9092      5.4688     70.79        4343  ▁
   147       270s    1.0269     33.7500     70.79        3572  ▂
   148       273s    0.9683     11.5000     70.79       13785  ▂
   149       274s    0.9863      7.5938     70.79         636  ▂
   150       275s    1.1650      9.6875     70.79        2739  ▂
   151       276s    1.6382      7.0312     70.79        5637  ▄
   152       280s    1.7273      9.0000     70.79       13639  ▄
   153       282s    2.0316      6.3125     70.79        7932  ▅
   154       286s    1.3468      6.6250     70.79         912  ▃
   155       287s    1.5781     15.6250     70.79        2038  ▃
   156       289s    1.5039     10.1875     70.79         824  ▃
   157       290s    1.1670      9.0000     70.79        2637  ▂
   158       291s    2.5444     18.7500     70.79          76  ▆
   159       292s    0.7654      5.3125     70.79        1785  ▁
   160       295s    1.6305    129.0000     70.79        2817  ▄
   161       296s    1.3987      8.0000     70.79        1300  ▃
   162       298s    0.9553     90.0000     70.79        7078  ▂
   163       300s    1.0146      4.8125     70.79        4625  ▂
   164       303s    1.6303     46.2500     70.79         967  ▄
   165       305s    1.8530     28.6250     70.79        1356  ▄
   166       306s    0.5735      6.0312     70.79        1046   
   167       308s    1.8406      7.8125     70.79        7541  ▄
   168       311s    1.3677      3.6094     70.79         669  ▃
   169       312s    0.9629      8.5625     70.79        1646  ▂
   170       313s    0.9868      6.2188     70.79         464  ▂
   171       315s    2.0121     19.6250     70.79         294  ▅
   172       316s    1.8657      8.8125     70.79        1500  ▄
   173       319s    1.5591  19584.0000     70.79        5711  ▃
   174       320s    1.2290      9.6875     70.79        1405  ▂
   175       321s    0.5298      4.5938     70.79        2876   
   176       322s    0.8867      5.5625     70.79         998  ▁
   177       323s    1.5762      6.4375     70.79        5102  ▃
   178       325s    1.3750      8.4375     70.79        3547  ▃
   179       329s    1.6270      6.4688     70.79        1344  ▄
   180       330s    1.9482     16.2500     70.79        2506  ▅
   181       332s    2.1536     14.3750     70.79         320  ▅
   182       335s    1.4305      9.4375     70.79        8303  ▃
   183       337s    0.8721      5.0938     70.79        8471  ▁
   184       338s    1.7615     13.3750     70.79         954  ▄
   185       341s    1.2391      5.8125     70.79       13268  ▂
   186       342s    0.8467      6.3125     70.79        1105  ▁
   187       344s    1.5254      8.1875     70.79         528  ▃
   188       345s    1.8010      8.5625     70.79        1069  ▄
   189       347s    1.0049     16.6250     70.79        7387  ▂
   190       349s    1.2065     80.0000     70.79         308  ▂
   191       351s    1.5645     16.1250     70.79        3975  ▃
   192       354s    1.3721      5.3438     70.79        1689  ▃
   193       355s    0.9003      6.3125     70.79         396  ▁
   194       356s    1.1763     13.9375     70.79         723  ▂
   195       357s    0.6245      5.6875     70.79         971  ▁
   196       360s    1.4909      5.7812     70.79        2327  ▃
   197       361s    1.0278      7.6250     70.79         288  ▂
   198       362s    0.9751      5.6250     70.79         406  ▂
   199       364s    1.0264      6.0312     70.79        8107  ▂
   200       367s    1.3953      5.8750     70.79       13811  ▃
   201       369s    1.8784      6.0000     70.79        2319  ▄
   202       370s    1.7568     11.6875     70.79        2017  ▄
   203       374s    1.3516     74.0000     70.79        2123  ▃
   204       378s    1.4017     29.3750     70.79       13780  ▃
   205       380s    1.0571     15.7500     70.79        3009  ▂
   206       381s    0.9941      6.4062     70.79        4978  ▂
   207       384s    1.8353     28.2500     70.79        1161  ▄
   208       385s    1.4204     36.5000     70.79        2065  ▃
   209       386s    0.9307      4.9375     70.79        5559  ▂
   210       387s    0.6724      4.8750     70.79         590  ▁
   211       388s    0.6187      5.3438     70.79         593  ▁
   212       391s    0.7994      4.9375     70.79        1783  ▁
   213       395s    1.7090    442.0000     70.79        2092  ▄
   214       396s    1.0312     54.0000     70.79        2385  ▂
   215       399s    1.3260     17.3750     70.79         793  ▃
   216       400s    2.0280      9.1250     70.79        3808  ▅
   217       402s    2.5952     10.3125     70.79         233  ▇
   218       405s    1.4305      6.0000     70.79          77  ▃
   219       406s    1.0332      5.9062     70.79        1765  ▂
   220       408s    1.8735      8.3750     70.79        2270  ▄
   221       412s    1.2507     64.5000     70.79        2247  ▂
   222       413s    0.7764     13.8125     70.79        4163  ▁
   223       416s    1.4113     36.5000     70.79         297  ▃
   224       418s    1.0801     11.5625     70.79        1579  ▂
   225       419s    1.0293     25.1250     70.79        3247  ▂
   226       421s    1.8276      8.1875     70.79        1053  ▄
   227       424s    1.2629      4.5625     70.79       12963  ▃
   228       425s    1.4509      6.1562     70.79        1244  ▃
   229       428s    1.3643      4.8438     70.79        1946  ▃
   230       430s    0.9351    286.0000     70.79        8307  ▂
   231       432s    0.3484     10.5625     70.79        2981   
   232       435s    1.0508      9.3125     70.79        2055  ▂
   233       437s    1.1709      7.6875     70.79         708  ▂
   234       438s    0.9275      8.7500     70.79         382  ▂
   235       439s    0.9304      6.0625     70.79        7574  ▂
   236       441s    1.6638      5.5312     70.79        4496  ▄
   237       445s    0.9081      6.8125     70.79         850  ▁
   238       446s    0.9136      7.7188     70.79        1237  ▁
   239       447s    1.2664      7.1562     70.79        2526  ▃
   240       448s    0.5335      5.5625     70.79        1248   
   241       449s    1.4795      6.5938     70.79         853  ▃
   242       452s    1.6064     76.0000     70.79         867  ▄
   243       453s    1.5981      7.0312     70.79        3301  ▄
   244       454s    0.9109      7.5938     70.79          90  ▁
   245       458s    1.1600      4.8750     70.79        2480  ▂
   246       460s    1.5771      9.8750     70.79         122  ▃
   247       462s    2.1720      7.0000     70.79        2009  ▅
   248       463s    1.0732      6.9062     70.79         333  ▂
   249       464s    1.0039      7.6250     70.79         131  ▂
   250       465s    0.9478      5.5000     70.79         928  ▂
   251       466s    1.1816      7.4062     70.79        3584  ▂
   252       468s    1.9407     80.5000     70.79         928  ▅
   253       469s    0.6982      5.9062     70.79         681  ▁
   254       470s    1.0400      5.8125     70.79        1322  ▂
   255       471s    1.0625      8.8750     70.79        2054  ▂
   256       472s    0.5293      4.2812     70.79         980   
   257       473s    1.2844      8.6250     70.79        6825  ▃
   258       475s    0.9644     11.4375     70.79        3937  ▂
   259       478s    1.3369      4.7188     70.79       10118  ▃
   260       480s    1.0332     10.9375     70.79        1737  ▂
   261       485s    1.2805      3.8438     70.79       13603  ▃
   262       486s    1.0576     11.0625     70.79        3370  ▂
   263       487s    1.4613      8.3750     70.79         149  ▃
   264       489s    1.8308     60.7500     70.79        1214  ▄
   265       491s    1.0508     93.0000     70.79        2196  ▂
   266       493s    1.0835      8.8750     70.79        1222  ▂
   267       495s    0.8643     50.0000     70.79        9190  ▁
   268       496s    1.6465     13.5000     70.79        1223  ▄
   269       498s    1.7383      7.2500     70.79        1167  ▄
   270       501s    1.2363      4.4688     70.79        2938  ▂
   271       502s    1.4380      7.6562     70.79        3342  ▃
   272       505s    0.9739      4.2812     70.79         632  ▂
   273       506s    0.9746     10.2500     70.79        1739  ▂
   274       509s    1.8036    376.0000     70.79        1179  ▄
   275       513s    1.0752      5.0625     70.79        2506  ▂
   276       515s    0.9954     32.7500     70.79        2746  ▂
   277       518s    1.3735     10.4375     70.79         752  ▃
   278       519s    0.7617      4.6562     70.79        1248  ▁
   279       520s    1.1099      7.4688     70.79         547  ▂
   280       521s    1.0728      5.6250     70.79        4373  ▂
   281       524s    1.2845      6.6250     70.79        1301  ▃
   282       526s    1.8754     12.5000     70.79        8155  ▄
   283       527s    1.0415     12.8750     70.79        2553  ▂
   284       528s    0.8740      5.5312     70.79        1051  ▁
   285       529s    0.9944     11.4375     70.79        1067  ▂
   286       531s    1.5918      7.9688     70.79         905  ▄
   287       533s    1.6565      7.0312     70.79        1246  ▄
   288       534s    1.6375      5.8750     70.79        6226  ▄
   289       536s    2.2686     10.5000     70.79         765  ▆
   290       537s    1.0020     15.4375     70.79        2430  ▂
   291       540s    1.1641      4.7812     70.79        2104  ▂
   292       542s    1.6245   9344.0000     70.79        4586  ▄
   293       543s    1.0693      6.9375     70.79         686  ▂
   294       545s    1.8748      5.6250     70.79         593  ▄
   295       546s    1.0642      7.1875     70.79        1450  ▂
   296       547s    1.0549     63.2500     70.79        1752  ▂
   297       548s    1.6388      5.2500     70.79         962  ▄
   298       551s    1.4925     22.2500     70.79       11443  ▃
   299       553s    0.8250     18.3750     70.79        1158  ▁
   300       554s    0.8975      7.6562     70.79        1988  ▁
   301       556s    1.3773      5.2500     70.79        9049  ▃
   302       558s    1.1956     18.5000     70.79        2367  ▂
   303       561s    1.5032     26.5000     70.79         152  ▃
   304       562s    1.6753     11.7500     70.79        2658  ▄
   305       563s    1.2446     43.7500     70.79        1564  ▂
   306       567s    1.3608      4.9688     70.79        2718  ▃
   307       571s    1.4768     18.7500     70.79       11892  ▃
   308       573s    1.3232      6.0312     70.79        2006  ▃
   309       574s    1.6279      5.7188     70.79         625  ▄
   310       576s    1.2681      3.9219     70.79         543  ▃
   311       578s    2.0322      7.0938     70.79        8868  ▅
   312       579s    0.9541     12.1250     70.79        1636  ▂
   313       581s    0.9653      5.5312     70.79        8034  ▂
   314       584s    1.8303      7.7188     70.79        1131  ▄
   315       585s    0.8223     37.0000     70.79        1150  ▁
   316       588s    1.3015      5.2812     70.79        4666  ▃
   317       589s    1.4302      5.5312     70.79         513  ▃
   318       590s    1.3325      5.2188     70.79        7673  ▃
   319       593s    1.0249     11.2500     70.79         590  ▂
   320       596s    1.4086      4.4688     70.79         392  ▃
   321       597s    1.5139      6.1562     70.79        1168  ▃
   322       598s    1.3730      5.0625     70.79        2898  ▃
   323       600s    0.9985      4.8438     70.79         804  ▂
   324       602s    1.0259      8.1875     70.79         550  ▂
   325       604s    0.9971      6.7500     70.79        2222  ▂
   326       605s    0.8813      7.6250     70.79        2925  ▁
   327       606s    1.1289     12.3750     70.79        4044  ▂
   328       607s    0.8750      6.3125     70.79         875  ▁
   329       608s    1.1372      7.6562     70.79         193  ▂
   330       610s    1.3461      4.6250     70.79         709  ▃
   331       611s    1.9307      7.0938     70.79         900  ▅
   332       612s    1.6779      7.4375     70.79        1107  ▄
   333       613s    1.1431      8.0625     70.79         361  ▂
   334       615s    1.6689      8.1250     70.79        3108  ▄
   335       616s    1.0166      7.9688     70.79        4588  ▂
   336       618s    0.8206      4.3750     70.79        8960  ▁
   337       620s    1.2098     12.8750     70.79         597  ▂
   338       621s    1.3604     16.3750     70.79        1286  ▃
   339       623s    1.1182      5.3438     70.79        3397  ▂
   340       627s    0.8721     56.0000     70.79         967  ▁
   341       631s    1.0732      8.0625     70.79       13539  ▂
   342       633s    1.0583      6.6875     70.79        1220  ▂
   343       635s    1.1190      5.4688     70.79         497  ▂
   344       638s    1.3281      4.3125     70.79        6589  ▃
   345       639s    1.3304      5.1562     70.79          75  ▃
   346       641s    1.6704     14.9375     70.79         508  ▄
   347       642s    1.8620      6.5312     70.79         157  ▄
   348       643s    1.0352     42.2500     70.79        1249  ▂
   349       644s    1.5548     20.7500     70.79         175  ▃
   350       645s    2.3076      7.4375     70.79        2109  ▆
   351       646s    0.5586      4.5312     70.79        2815   
   352       650s    0.8400      4.1250     70.79        1066  ▁
   353       654s    1.3134      3.2969     70.79        1166  ▃
   354       656s    0.9722     27.8750     70.79       10410  ▂
   355       659s    1.4717      8.3125     70.79        7047  ▃
   356       660s    1.1789      7.2500     70.79         917  ▂
   357       663s    1.6548     14.3750     70.79        6987  ▄
   358       666s    1.9188      6.4375     70.79         624  ▅
   359       668s    0.9487     27.0000     70.79         408  ▂
   360       671s    1.0044      6.0000     70.79        3620  ▂
   361       673s    1.3845     12.5000     70.79        1209  ▃
   362       674s    1.2090      7.3750     70.79        1813  ▂
   363       678s    1.4536      4.9688     70.79        1114  ▃
   364       679s    1.0708     14.6875     70.79        1532  ▂
   365       680s    1.0356      5.2188     70.79        1277  ▂
   366       681s    0.7953      5.3750     70.79         477  ▁
   367       681s    1.9307     10.9375     70.79        1667  ▅
   368       682s    1.4523      5.3438     70.79        3050  ▃
   369       683s    1.7505      6.5625     70.79         772  ▄
   370       685s    0.5081      4.3125     70.79         625   
   371       686s    0.9053      5.8750     70.79        1993  ▁
   372       689s    1.1191      4.6250     70.79        2259  ▂
   373       692s    1.0383      5.2812     70.79       13568  ▂
   374       695s    0.7461     12.2500     70.79       12128  ▁
   375       698s    0.8235      3.6250     70.79        1099  ▁
   376       702s    0.8765      6.7500     70.79        1924  ▁
   377       706s    0.9265      7.4375     70.79        1393  ▁
   378       708s    1.0139     11.7500     70.79        2263  ▂
   379       711s    1.3409      9.7500     70.79         542  ▃
   380       712s    1.8080      5.8125     70.79        3495  ▄
   381       714s    2.0215      5.5625     70.79        6904  ▅
   382       715s    1.4541      6.3125     70.79        2375  ▃
   383       718s    1.2598     15.9375     70.79        9069  ▃
   384       719s    1.0796      8.6875     70.79        2538  ▂
   385       721s    1.0718      7.1250     70.79        1093  ▂
   386       722s    1.9598      4.7812     70.79        6476  ▅
   387       724s    1.4900    119.0000     70.79        8342  ▃
   388       727s    1.1526     10.3125     70.79       12410  ▂
   389       729s    1.6383      5.8125     70.79        6571  ▄
   390       730s    1.6348      5.8125     70.79        2285  ▄
   391       733s    1.5229      4.1875     70.79       13513  ▃
   392       736s    1.5200     24.6250     70.79       13302  ▃
   393       738s    1.7795     12.6875     70.79         389  ▄
   394       742s    0.9376    233.0000     76.61       13993  ▂
   395       744s    0.8931     24.2500     76.61         712  ▁
   396       746s    0.9033      7.2188     76.61        2444  ▁
   397       750s    1.2152      3.4062     76.61         163  ▂
   398       753s    0.8951     11.3125     76.61        2106  ▁
   399       756s    1.3248      3.9219     76.61        2159  ▃
   400       759s    0.8880    304.0000     76.61         400  ▁
   401       760s    1.3611    520.0000     76.61        2378  ▃
   402       761s    1.3047      8.2500     76.61         406  ▃
   403       763s    1.4790     10.7500     76.61         132  ▃
   404       766s    1.2008     58.2500     76.61       13652  ▂
   405       767s    0.7549      5.9375     76.61         366  ▁
   406       768s    0.7856      4.2500     76.61        2672  ▁
   407       769s    0.9521      8.3125     76.61         378  ▂
   408       771s    1.6680     23.1250     76.61        2506  ▄
   409       773s    0.8965      6.3750     76.61         850  ▁
   410       776s    1.1604      3.2969     76.61         167  ▂
   411       779s    1.2836      3.9219     76.61         893  ▃
   412       780s    0.7070      5.2500     76.61        1173  ▁
   413       782s    1.6855      6.7500     76.61         881  ▄
   414       785s    0.8970      6.6875     76.61        4411  ▁
   415       787s    1.2822     15.1875     76.61        1861  ▃
   416       788s    1.2090     26.2500     76.61        3174  ▂
   417       790s    1.5679     15.4375     76.61        5840  ▃
   418       791s    0.6409      5.4062     76.61        2744  ▁
   419       792s    0.9375      8.2500     76.61         196  ▂
   420       793s    0.6611      5.8750     76.61        1281  ▁
   421       795s    0.8813      6.0625     76.61        1834  ▁
   422       796s    1.0081      4.5000     76.61        2884  ▂
   423       797s    2.0789      5.4688     76.61        2775  ▅
   424       798s    1.7478      5.6875     76.61         951  ▄
   425       799s    1.8833     36.5000     76.61        2244  ▄
   426       801s    1.9916    218.0000     76.61         369  ▅
   427       804s    0.7850      3.7500     76.61       11289  ▁
   428       804s    0.8032     23.2500     76.61        1260  ▁
   429       806s    1.3479      5.8750     76.61         405  ▃
   430       807s    0.8027      4.6250     76.61        2537  ▁
   431       809s    0.7785      6.9375     76.61       12276  ▁
   432       812s    1.6792      5.7188     76.61        6504  ▄
   433       814s    0.6934      7.4062     76.61        1229  ▁
   434       816s    0.9824      5.3438     76.61         516  ▂
   435       818s    0.5527     60.0000     76.61        1293   
   436       822s    1.0839     28.3750     76.61         881  ▂
   437       822s    1.4302     10.0000     76.61        1822  ▃
   438       824s    1.8344      5.5312     76.61        6675  ▄
   439       825s    1.4985      4.6250     76.61        3643  ▃
   440       828s    0.9702      5.0312     76.61         654  ▂
   441       831s    0.7554     11.4375     76.61         483  ▁
   442       832s    1.2300      8.1875     76.61        3102  ▂
   443       836s    1.4169      5.6875     76.61       13725  ▃
   444       837s    0.9282     64.5000     76.61        1118  ▂
   445       838s    0.6239      4.6250     76.61         769  ▁
   446       841s    1.2236      8.8125     76.61       13504  ▂
   447       842s    1.2344     51.2500     76.61        3766  ▂
   448       845s    1.3831     25.6250     76.61        1635  ▃
   449       847s    1.8076      5.0312     76.61        2191  ▄
   450       848s    0.7827      4.9688     76.61        1054  ▁
   451       849s    1.2495      6.2188     76.61        4352  ▂
   452       852s    1.6697      5.1875     76.61        1102  ▄
   453       853s    1.7437      6.5000     76.61        1616  ▄
   454       859s    0.8594      4.8125     76.61         683  ▁
   455       861s    1.2573      4.1250     76.61        9733  ▂
   456       863s    0.7808      5.8438     76.61        4410  ▁
   457       866s    0.9734      4.4688     76.61        1235  ▂
   458       869s    0.9011     17.2500     76.61         784  ▁
   459       872s    0.9263     11.3750     76.61       13073  ▁
   460       873s    0.8613     19.0000     76.61         161  ▁
