# Compare fsdp2_gbs4 vs ds_gbs64  (first 40 common steps)
# A: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_baseline_fsdp2/run_20260424_205133_full_epoch/v0-20260425-045155/logging.jsonl
# B: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_baseline_ds_prod/run_20260424_221109_full_epoch/swift_out/v0-20260425-061132/logging.jsonl
# common steps: 40  (A had 2354, B had 295 total)

== Step-1 sanity ==
  fsdp2_gbs4.loss   = 1.92089844
  ds_gbs64.loss   = 2.02941513
  Δloss     = -0.10851668999999986  (-5.347190350354778%)
  fsdp2_gbs4.grad   = 32.75
  ds_gbs64.grad   = 66.47613525
  Δgrad     = -33.72613525  (-50.73419975930384%)

== Aggregate over first N steps ==
  abs(Δloss): n=40 max=1.582 mean=0.5948 min=0.01338
  abs(Δloss/B): n=40 max=1.272 mean=0.4274 min=0.006811
  abs(Δgrad/B): n=40 max=22.59 mean=5.347 min=0.1651

== Verdict (heuristic, gemma4 bf16) ==
  loss-pct verdict: BAD (>3%, framework alignment broken)  (max abs Δloss/B = 127.17%)

== Side-by-side ==
 step  fsdp2_gbs4.loss  ds_gbs64.loss       Δloss    Δloss%  fsdp2_gbs4.grad  ds_gbs64.grad    Δgrad%  fsdp2_gbs4.tok  ds_gbs64.tok
    1     1.920898     2.029415    -0.10852   -5.347%     32.7500     66.4761  -50.734%       919     38498
    2     2.714111     2.036064     0.67805   33.302%     69.0000     49.2105   40.214%      2166     74566
    3     1.605469     1.759430    -0.15396   -8.751%    172.0000     36.5103  371.100%     11968     25739
    4     1.919922     2.265915    -0.34599  -15.269%     44.2500     62.9544  -29.711%       221     32353
    5     1.951416     1.964798    -0.01338   -0.681%     57.5000     45.0448   27.651%       670     66302
    6     1.226074     1.589989    -0.36391  -22.888%     18.5000     24.3731  -24.097%      1097     44459
    7     2.440674     1.467297     0.97338   66.338%     74.0000      7.5322  882.450%      5148     34223
    8     1.403809     1.280251     0.12356    9.651%     31.1250     11.8632  162.366%       236     28101
    9     2.859375     1.666924     1.19245   71.536%     66.0000     37.9822   73.766%       778     66587
   10     2.909180     1.614410     1.29477   80.201%     57.2500     18.9287  202.451%      1289     67200
   11     2.467773     1.620769     0.84700   52.259%     64.0000     14.5308  340.445%       929     39476
   12     1.914551     1.562338     0.35221   22.544%     47.5000      8.6842  446.972%      1384     59876
   13     2.289062     1.464582     0.82448   56.295%     53.0000      6.2568  747.076%      5735     58481
   14     2.062256     1.341058     0.72120   53.778%     99.0000     28.1792  251.323%      4836     30234
   15     1.508789     1.283461     0.22533   17.556%    115.5000      5.1858  2127.228%      1036     52817
   16     1.650146     1.377874     0.27227   19.760%     36.0000      5.4578  559.602%        86     20663
   17     2.359375     1.348053     1.01132   75.021%     68.5000      4.2121  1526.254%      9609     62863
   18     1.983887     1.356133     0.62775   46.290%     49.2500      3.8378  1183.274%     13702     37594
   19     1.124756     1.475413    -0.35066  -23.767%     44.2500     17.5192  152.580%      1351     44143
   20     1.526855     1.413032     0.11382    8.055%     46.5000      3.3106  1304.564%      7527     54001
   21     1.901367     1.316836     0.58453   44.389%     57.0000      4.4900  1169.487%       698     35412
   22     1.979004     1.196651     0.78235   65.379%     42.5000      7.6831  453.159%       985     36246
   23     2.530273     1.373600     1.15667   84.207%     53.2500      5.9481  795.246%      3550     43318
   24     1.581543     1.243729     0.33781   27.161%     41.0000     17.0929  139.865%     12561     62947
   25     2.368408     1.407839     0.96057   68.230%    162.0000      9.8608  1542.871%       851     86358
   26     1.967773     1.221627     0.74615   61.078%     50.2500      6.8085  638.049%      1131     35900
   27     2.826660     1.244276     1.58238  127.173%     41.5000      9.0533  358.399%       842     55389
   28     2.016602     1.215378     0.80122   65.924%     46.0000      6.1642  646.241%       757     54815
   29     0.998047     1.279442    -0.28139  -21.994%     20.0000      6.6708  199.813%       576     67681
   30     2.461670     1.296907     1.16476   89.811%     62.7500     48.1729   30.260%     13587     36269
   31     1.604492     1.351262     0.25323   18.740%     39.5000      5.1728  663.616%      5902     32066
   32     1.358398     1.246224     0.11217    9.001%     30.3750     26.0706   16.510%       937     31464
   33     1.190918     1.312502    -0.12158   -9.264%    488.0000     20.6859  2259.090%       920     53310
   34     1.785278     1.261475     0.52380   41.523%     46.5000     18.7560  147.921%       224     64590
   35     0.973145     1.284641    -0.31150  -24.248%     12.1875    251.0589  -95.146%       468     52403
   36     1.501953     1.270191     0.23176   18.246%    213.0000     48.3645  340.406%      2248     18426
   37     2.666016     1.398178     1.26784   90.678%     57.0000     14.1162  303.792%      2017     32810
   38     1.796875     1.239101     0.55777   45.014%     42.7500     11.1111  284.752%       323     36362
   39     2.237793     1.273068     0.96472   75.779%     40.7500      5.5798  630.315%      1244     43573
   40     0.940918     1.396545    -0.45563  -32.625%     25.5000      9.4341  170.296%       750     29449
