# Compare fsdp2_align vs ds_baseline  (first 40 common steps)
# A: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_train_align/run_20260426_161834_mirror_ds/logging.jsonl
# B: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_baseline_ds_prod/run_20260424_221109_full_epoch/swift_out/v0-20260425-061132/logging.jsonl
# common steps: 40  (A had 41, B had 295 total)

== Step-1 sanity ==
  fsdp2_align.loss   = 2.03022385
  ds_baseline.loss   = 2.02941513
  Δloss     = 0.000808720000000207  (0.039849904932964954%)
  fsdp2_align.grad   = 151.0
  ds_baseline.grad   = 66.47613525
  Δgrad     = 84.52386475  (127.14918584259907%)

== Aggregate over first N steps ==
  abs(Δloss): n=39 max=0.5733 mean=0.08225 min=0.0002952
  abs(Δloss/B): n=39 max=0.253 mean=0.05051 min=0.0002001
  abs(Δgrad/B): n=39 max=8.891 mean=1.09 min=0.09064

== Verdict (heuristic, gemma4 bf16) ==
  loss-pct verdict: BAD (>3%, framework alignment broken)  (max abs Δloss/B = 25.30%)

== Side-by-side ==
 step  fsdp2_align.loss  ds_baseline.loss       Δloss    Δloss%  fsdp2_align.grad  ds_baseline.grad    Δgrad%  fsdp2_align.tok  ds_baseline.tok
    1     2.030224     2.029415     0.00081    0.040%    151.0000     66.4761  127.149%     38498     38498
    2     2.035118     2.036064    -0.00095   -0.046%     44.7500     49.2105   -9.064%     74566     74566
    3     1.550610     1.759430    -0.20882  -11.869%     61.5000     36.5103   68.446%     25739     25739
    4     1.692625     2.265915    -0.57329  -25.301%     13.9375     62.9544  -77.861%     32353     32353
    5     1.586731     1.964798    -0.37807  -19.242%     16.1250     45.0448  -64.202%     66302     66302
    6     1.340891     1.589989    -0.24910  -15.667%      8.3750     24.3731  -65.638%     44459     44459
    7     1.389605     1.467297    -0.07769   -5.295%     74.5000      7.5322  889.088%     34223     34223
    8     1.201996     1.280251    -0.07825   -6.112%      2.9688     11.8632  -74.975%     28101     28101
    9     1.408617     1.666924    -0.25831  -15.496%      5.1562     37.9822  -86.425%     66587     66587
   10     1.373947     1.614410    -0.24046  -14.895%      3.2031     18.9287  -83.078%     67200     67200
   11     1.430945     1.620769    -0.18982  -11.712%      6.3438     14.5308  -56.343%     39476     39476
   12     1.442115     1.562338    -0.12022   -7.695%     26.2500      8.6842  202.274%     59876     59876
   13     1.388529     1.464582    -0.07605   -5.193%      8.3125      6.2568   32.855%     58481     58481
   14     1.298443     1.341058    -0.04261   -3.178%      4.0938     28.1792  -85.472%     30234     30234
   15     1.229960     1.283461    -0.05350   -4.168%      3.2344      5.1858  -37.630%     52817     52817
   16     1.349689     1.377874    -0.02818   -2.046%      3.6406      5.4578  -33.295%     20663     20663
   17     1.322072     1.348053    -0.02598   -1.927%     13.8125      4.2121  227.922%     62863     62863
   18     1.330444     1.356133    -0.02569   -1.894%      6.5625      3.8378   70.995%     37594     37594
   19     1.475708     1.475413     0.00030    0.020%      5.4688     17.5192  -68.784%     44143     44143
   20     1.408842     1.413032    -0.00419   -0.297%      5.8438      3.3106   76.514%     54001     54001
   21     1.331467     1.316836     0.01463    1.111%     14.2500      4.4900  217.372%     35412     35412
   22     1.209278     1.196651     0.01263    1.055%      3.2500      7.6831  -57.700%     36246     36246
   23     1.386026     1.373600     0.01243    0.905%      2.2344      5.9481  -62.435%     43318     43318
   24     1.259581     1.243729     0.01585    1.275%      7.7188     17.0929  -54.842%     62947     62947
   25     1.427940     1.407839     0.02010    1.428%      3.2812      9.8608  -66.724%     86358     86358
   26     1.242223     1.221627     0.02060    1.686%      8.3125      6.8085   22.090%     35900     35900
   27     1.277512     1.244276     0.03324    2.671%      2.6094      9.0533  -71.178%     55389     55389
   28     1.247653     1.215378     0.03228    2.656%      3.4688      6.1642  -43.728%     54815     54815
   29     1.317108     1.279442     0.03767    2.944%     46.2500      6.6708  593.317%     67681     67681
   30     1.328802     1.296907     0.03190    2.459%     37.5000     48.1729  -22.155%     36269     36269
   31     1.381297     1.351262     0.03004    2.223%      3.6406      5.1728  -29.619%     32066     32066
   32     1.288916     1.246224     0.04269    3.426%      7.7812     26.0706  -70.153%     31464     31464
   33     1.357714     1.312502     0.04521    3.445%     22.6250     20.6859    9.374%     53310     53310
   34     1.298148     1.261475     0.03667    2.907%      7.2500     18.7560  -61.346%     64590     64590
   35     1.313629     1.284641     0.02899    2.256%     11.3125    251.0589  -95.494%     52403     52403
   36     1.306694     1.270191     0.03650    2.874%      6.9062     48.3645  -85.720%     18426     18426
   37     1.435734     1.398178     0.03756    2.686%     20.0000     14.1162   41.682%     32810     32810
   38     1.279079     1.239101     0.03998    3.226%     32.5000     11.1111  192.501%     36362     36362
   39     1.319510     1.273068     0.04644    3.648%      4.7812      5.5798  -14.311%     43573     43573
   40            ?     1.396545           ?         ?           ?      9.4341         ?     29449     29449
