# Compare fsdp2_align vs ds_baseline  (first 23 common steps)
# A: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_train_align/run_20260426_161834_mirror_ds/swift_out/v0-20260427-001900/logging.jsonl
# B: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_baseline_ds_prod/run_20260424_221109_full_epoch/swift_out/v0-20260425-061132/logging.jsonl
# common steps: 23  (A had 23, B had 295 total)

== Step-1 sanity ==
  fsdp2_align.loss   = 2.03022385
  ds_baseline.loss   = 2.02941513
  Δloss     = 0.000808720000000207  (0.039849904932964954%)
  fsdp2_align.grad   = 151.0
  ds_baseline.grad   = 66.47613525
  Δgrad     = 84.52386475  (127.14918584259907%)

== Aggregate over first N steps ==
  abs(Δloss): n=23 max=0.5733 mean=0.1162 min=0.0002952
  abs(Δloss/B): n=23 max=0.253 mean=0.06746 min=0.0002001
  abs(Δgrad/B): n=23 max=8.891 mean=1.207 min=0.09064

== Verdict (heuristic, gemma4 bf16) ==
  loss-pct verdict: BAD (>3%, framework alignment broken)  (max abs Δloss/B = 25.30%)

== Side-by-side ==
 step  fsdp2_align.loss  ds_baseline.loss       Δloss    Δloss%  fsdp2_align.grad  ds_baseline.grad    Δgrad%  fsdp2_align.tok  ds_baseline.tok
    1     2.030224     2.029415     0.00081    0.040%    151.0000     66.4761  127.149%     38498     38498
    2     2.035118     2.036064    -0.00095   -0.046%     44.7500     49.2105   -9.064%     74566     74566
    3     1.550610     1.759430    -0.20882  -11.869%     61.5000     36.5103   68.446%     25739     25739
    4     1.692625     2.265915    -0.57329  -25.301%     13.9375     62.9544  -77.861%     32353     32353
    5     1.586731     1.964798    -0.37807  -19.242%     16.1250     45.0448  -64.202%     66302     66302
    6     1.340891     1.589989    -0.24910  -15.667%      8.3750     24.3731  -65.638%     44459     44459
    7     1.389605     1.467297    -0.07769   -5.295%     74.5000      7.5322  889.088%     34223     34223
    8     1.201996     1.280251    -0.07825   -6.112%      2.9688     11.8632  -74.975%     28101     28101
    9     1.408617     1.666924    -0.25831  -15.496%      5.1562     37.9822  -86.425%     66587     66587
   10     1.373947     1.614410    -0.24046  -14.895%      3.2031     18.9287  -83.078%     67200     67200
   11     1.430945     1.620769    -0.18982  -11.712%      6.3438     14.5308  -56.343%     39476     39476
   12     1.442115     1.562338    -0.12022   -7.695%     26.2500      8.6842  202.274%     59876     59876
   13     1.388529     1.464582    -0.07605   -5.193%      8.3125      6.2568   32.855%     58481     58481
   14     1.298443     1.341058    -0.04261   -3.178%      4.0938     28.1792  -85.472%     30234     30234
   15     1.229960     1.283461    -0.05350   -4.168%      3.2344      5.1858  -37.630%     52817     52817
   16     1.349689     1.377874    -0.02818   -2.046%      3.6406      5.4578  -33.295%     20663     20663
   17     1.322072     1.348053    -0.02598   -1.927%     13.8125      4.2121  227.922%     62863     62863
   18     1.330444     1.356133    -0.02569   -1.894%      6.5625      3.8378   70.995%     37594     37594
   19     1.475708     1.475413     0.00030    0.020%      5.4688     17.5192  -68.784%     44143     44143
   20     1.408842     1.413032    -0.00419   -0.297%      5.8438      3.3106   76.514%     54001     54001
   21     1.331467     1.316836     0.01463    1.111%     14.2500      4.4900  217.372%     35412     35412
   22     1.209278     1.196651     0.01263    1.055%      3.2500      7.6831  -57.700%     36246     36246
   23     1.386026     1.373600     0.01243    0.905%      2.2344      5.9481  -62.435%     43318     43318
