step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	75.0	2.03022385	151.0	73.32	0.61757106	1e-05	38498	255.1	75.442027
2	121.0	2.0351181	44.75	76.47	0.60174446	2e-05	74566	615.9	60.533927
3	165.0	1.55060959	61.5	76.62	0.65720472	1.997e-05	25739	234.4	54.895805
4	206.0	1.69262505	13.9375	76.62	0.60300037	1.986e-05	32353	314.7	51.406568
5	253.0	1.58673096	16.125	76.62	0.6158095	1.969e-05	66302	654.4	50.660741
6	305.0	1.34089088	8.375	76.62	0.65593233	1.946e-05	44459	437.4	50.824602
7	351.0	1.38960457	74.5	76.62	0.6432591	1.916e-05	34223	341.1	50.166169
8	405.0	1.20199585	2.96875	76.62	0.68330462	1.879e-05	28101	277.5	50.627706
9	452.0	1.40861702	5.15625	76.62	0.64159103	1.837e-05	66587	663.0	50.218662
10	499.0	1.37394714	3.203125	76.62	0.64705508	1.789e-05	67200	672.9	49.931346
11	570.0	1.43094492	6.34375	76.62	0.63223936	1.736e-05	39476	381.1	51.792586
12	618.0	1.44211483	26.25	76.62	0.63452013	1.677e-05	59876	581.7	51.465506
13	665.0	1.38852882	8.3125	76.62	0.64206545	1.614e-05	58481	571.6	51.153118
14	713.0	1.29844284	4.09375	76.62	0.66147335	1.547e-05	30234	296.7	50.945632
15	761.0	1.22996044	3.234375	76.62	0.67251943	1.476e-05	52817	520.4	50.747847
16	802.0	1.34968948	3.640625	76.62	0.65982325	1.402e-05	20663	206.1	50.127935
17	850.0	1.32207203	13.8125	76.62	0.64828902	1.325e-05	62863	628.4	50.016309
18	896.0	1.33044434	6.5625	76.62	0.65758708	1.245e-05	37594	377.6	49.778703
19	940.0	1.47570801	5.46875	76.62	0.63493814	1.165e-05	44143	446.4	49.448406
20	987.0	1.40884209	5.84375	76.62	0.63163567	1.083e-05	54001	546.9	49.368569
21	1050.0	1.33146667	14.25	76.62	0.65860837	1e-05	35412	354.1	49.996561
22	1098.0	1.20927811	3.25	76.62	0.67756634	9.17e-06	36246	363.2	49.895128
23	1146.0	1.38602638	2.234375	76.62	0.63774518	8.35e-06	43318	434.7	49.826983
24	1201.0	1.25958061	7.71875	76.62	0.66648222	7.55e-06	62947	629.2	50.021481
25	1257.0	1.42794037	3.28125	76.62	0.63615902	6.75e-06	86358	858.5	50.29842
26	1304.0	1.24222326	8.3125	76.62	0.66477397	5.98e-06	35900	357.9	50.158809
27	1346.0	1.2775116	2.609375	76.62	0.67251062	5.24e-06	55389	555.5	49.851044
28	1394.0	1.24765348	3.46875	76.62	0.67098457	4.53e-06	54815	550.5	49.785169
29	1444.0	1.31710815	46.25	76.62	0.65987789	3.86e-06	67681	679.5	49.800621
30	1490.0	1.32880211	37.5	76.62	0.65312269	3.23e-06	36269	365.1	49.673572
31	1556.0	1.38129687	3.640625	76.62	0.63983977	2.64e-06	32066	319.5	50.177731
32	1604.0	1.28891563	7.78125	76.62	0.65698706	2.11e-06	31464	313.8	50.133888
33	1648.0	1.35771418	22.625	76.62	0.65822282	1.63e-06	53310	533.9	49.929093
34	1698.0	1.29814816	7.25	76.62	0.65339073	1.21e-06	64590	646.8	49.931215
35	1744.0	1.31362915	11.3125	76.62	0.65571515	8.4e-07	52403	526.0	49.81521
36	1787.0	1.30669403	6.90625	76.62	0.65432538	5.4e-07	18426	185.6	49.646122
37	1833.0	1.4357338	20.0	76.62	0.6347078	3.1e-07	32810	331.2	49.533249
38	1876.0	1.27907944	32.5	76.62	0.65583434	1.4e-07	36362	368.2	49.373943
39	1921.0	1.31950951	4.78125	76.62	0.65355581	3e-08	43573	442.3	49.252822
40	1967.0	1.44761062	5.40625	76.62	0.63102666	0.0	29449	299.4	49.180173
40	1967.0	None	None	76.62	None	None	29449	299.4	49.182993
