# Compare fsdp2_warmup15 vs ds_baseline  (first 40 common steps)
# A: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_train_align/run_20260426_165953_warmup15/logging.jsonl
# B: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_baseline_ds_prod/run_20260424_221109_full_epoch/swift_out/v0-20260425-061132/logging.jsonl
# common steps: 40  (A had 41, B had 295 total)

== Step-1 sanity ==
  fsdp2_warmup15.loss   = 2.03022385
  ds_baseline.loss   = 2.02941513
  Δloss     = 0.000808720000000207  (0.039849904932964954%)
  fsdp2_warmup15.grad   = 155.0
  ds_baseline.grad   = 66.47613525
  Δgrad     = 88.52386475  (133.16638281856194%)

== Aggregate over first N steps ==
  abs(Δloss): n=39 max=0.324 mean=0.06974 min=0.0008087
  abs(Δloss/B): n=39 max=0.2208 mean=0.04973 min=0.0003985
  abs(Δgrad/B): n=39 max=112.8 mean=4.079 min=0.01398

== Verdict (heuristic, gemma4 bf16) ==
  loss-pct verdict: BAD (>3%, framework alignment broken)  (max abs Δloss/B = 22.08%)

== Side-by-side ==
 step  fsdp2_warmup15.loss  ds_baseline.loss       Δloss    Δloss%  fsdp2_warmup15.grad  ds_baseline.grad    Δgrad%  fsdp2_warmup15.tok  ds_baseline.tok
    1     2.030224     2.029415     0.00081    0.040%    155.0000     66.4761  133.166%     38498     38498
    2     2.035118     2.036064    -0.00095   -0.046%     44.7500     49.2105   -9.064%     74566     74566
    3     1.758305     1.759430    -0.00113   -0.064%     36.0000     36.5103   -1.398%     25739     25739
    4     2.303049     2.265915     0.03713    1.639%     50.5000     62.9544  -19.783%     32353     32353
    5     2.122864     1.964798     0.15807    8.045%     49.2500     45.0448    9.336%     66302     66302
    6     1.763870     1.589989     0.17388   10.936%     66.0000     24.3731  170.790%     44459     44459
    7     1.791317     1.467297     0.32402   22.083%     34.5000      7.5322  358.034%     34223     34223
    8     1.469757     1.280251     0.18951   14.802%     30.3750     11.8632  156.044%     28101     28101
    9     1.591057     1.666924    -0.07587   -4.551%     24.2500     37.9822  -36.154%     66587     66587
   10     1.507561     1.614410    -0.10685   -6.618%     34.0000     18.9287   79.621%     67200     67200
   11     1.558838     1.620769    -0.06193   -3.821%      7.7500     14.5308  -46.665%     39476     39476
   12     1.566067     1.562338     0.00373    0.239%    988.0000      8.6842  11277.008%     59876     59876
   13     1.514458     1.464582     0.04988    3.405%     27.7500      6.2568  343.516%     58481     58481
   14     1.434263     1.341058     0.09321    6.950%     31.5000     28.1792   11.785%     30234     30234
   15     1.364481     1.283461     0.08102    6.313%     12.9375      5.1858  149.478%     52817     52817
   16     1.449936     1.377874     0.07206    5.230%     25.5000      5.4578  367.218%     20663     20663
   17     1.413496     1.348053     0.06544    4.855%     24.1250      4.2121  472.750%     62863     62863
   18     1.399643     1.356133     0.04351    3.208%      6.2188      3.8378   62.038%     37594     37594
   19     1.530071     1.475413     0.05466    3.705%     78.5000     17.5192  348.079%     44143     44143
   20     1.461875     1.413032     0.04884    3.457%     14.5625      3.3106  339.870%     54001     54001
   21     1.384989     1.316836     0.06815    5.175%      3.8125      4.4900  -15.089%     35412     35412
   22     1.251787     1.196651     0.05514    4.608%     29.7500      7.6831  287.211%     36246     36246
   23     1.426418     1.373600     0.05282    3.845%      3.9219      5.9481  -34.065%     43318     43318
   24     1.292944     1.243729     0.04922    3.957%      7.2500     17.0929  -57.585%     62947     62947
   25     1.461080     1.407839     0.05324    3.782%      1.7891      9.8608  -81.857%     86358     86358
   26     1.271430     1.221627     0.04980    4.077%      8.0000      6.8085   17.500%     35900     35900
   27     1.308239     1.244276     0.06396    5.141%      4.8438      9.0533  -46.497%     55389     55389
   28     1.269460     1.215378     0.05408    4.450%      3.7344      6.1642  -39.419%     54815     54815
   29     1.338602     1.279442     0.05916    4.624%      7.8750      6.6708   18.051%     67681     67681
   30     1.351974     1.296907     0.05507    4.246%      4.5625     48.1729  -90.529%     36269     36269
   31     1.402468     1.351262     0.05121    3.789%      5.0312      5.1728   -2.736%     32066     32066
   32     1.304054     1.246224     0.05783    4.640%      7.1562     26.0706  -72.551%     31464     31464
   33     1.378134     1.312502     0.06563    5.001%      6.1875     20.6859  -70.088%     53310     53310
   34     1.318878     1.261475     0.05740    4.550%     83.0000     18.7560  342.526%     64590     64590
   35     1.331760     1.284641     0.04712    3.668%      3.8438    251.0589  -98.469%     52403     52403
   36     1.325287     1.270191     0.05510    4.338%     85.0000     48.3645   75.749%     18426     18426
   37     1.456390     1.398178     0.05821    4.163%     18.2500     14.1162   29.284%     32810     32810
   38     1.299328     1.239101     0.06023    4.860%      2.2344     11.1111  -79.891%     36362     36362
   39     1.337250     1.273068     0.06418    5.041%      8.7500      5.5798   56.816%     43573     43573
   40            ?     1.396545           ?         ?           ?      9.4341         ?     29449     29449
