# Compare fsdp2_warmup15 vs ds_baseline  (first 14 common steps)
# A: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_train_align/run_20260426_165953_warmup15/swift_out/v0-20260427-010020/logging.jsonl
# B: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_baseline_ds_prod/run_20260424_221109_full_epoch/swift_out/v0-20260425-061132/logging.jsonl
# common steps: 14  (A had 15, B had 295 total)

== Step-1 sanity ==
  fsdp2_warmup15.loss   = 2.03022385
  ds_baseline.loss   = 2.02941513
  Δloss     = 0.000808720000000207  (0.039849904932964954%)
  fsdp2_warmup15.grad   = 155.0
  ds_baseline.grad   = 66.47613525
  Δgrad     = 88.52386475  (133.16638281856194%)

== Aggregate over first N steps ==
  abs(Δloss): n=14 max=0.324 mean=0.09121 min=0.0008087
  abs(Δloss/B): n=14 max=0.2208 mean=0.05946 min=0.0003985
  abs(Δgrad/B): n=14 max=112.8 mean=9.037 min=0.01398

== Verdict (heuristic, gemma4 bf16) ==
  loss-pct verdict: BAD (>3%, framework alignment broken)  (max abs Δloss/B = 22.08%)

== Side-by-side ==
 step  fsdp2_warmup15.loss  ds_baseline.loss       Δloss    Δloss%  fsdp2_warmup15.grad  ds_baseline.grad    Δgrad%  fsdp2_warmup15.tok  ds_baseline.tok
    1     2.030224     2.029415     0.00081    0.040%    155.0000     66.4761  133.166%     38498     38498
    2     2.035118     2.036064    -0.00095   -0.046%     44.7500     49.2105   -9.064%     74566     74566
    3     1.758305     1.759430    -0.00113   -0.064%     36.0000     36.5103   -1.398%     25739     25739
    4     2.303049     2.265915     0.03713    1.639%     50.5000     62.9544  -19.783%     32353     32353
    5     2.122864     1.964798     0.15807    8.045%     49.2500     45.0448    9.336%     66302     66302
    6     1.763870     1.589989     0.17388   10.936%     66.0000     24.3731  170.790%     44459     44459
    7     1.791317     1.467297     0.32402   22.083%     34.5000      7.5322  358.034%     34223     34223
    8     1.469757     1.280251     0.18951   14.802%     30.3750     11.8632  156.044%     28101     28101
    9     1.591057     1.666924    -0.07587   -4.551%     24.2500     37.9822  -36.154%     66587     66587
   10     1.507561     1.614410    -0.10685   -6.618%     34.0000     18.9287   79.621%     67200     67200
   11     1.558838     1.620769    -0.06193   -3.821%      7.7500     14.5308  -46.665%     39476     39476
   12     1.566067     1.562338     0.00373    0.239%    988.0000      8.6842  11277.008%     59876     59876
   13     1.514458     1.464582     0.04988    3.405%     27.7500      6.2568  343.516%     58481     58481
   14     1.434263     1.341058     0.09321    6.950%     31.5000     28.1792   11.785%     30234     30234
