step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	77.0	2.03022385	155.0	73.31	0.61757106	1.33e-06	38498	250.5	76.853761
2	123.0	2.0351181	44.75	76.53	0.60174446	2.67e-06	74566	606.3	61.495216
3	166.0	1.7583046	36.0	76.62	0.6468247	4e-06	25739	232.2	55.417607
4	208.0	2.30304909	50.5	76.62	0.5765994	5.33e-06	32353	310.4	52.114569
5	256.0	2.12286377	49.25	76.62	0.58570999	6.67e-06	66302	648.0	51.155544
6	302.0	1.76387024	66.0	76.62	0.62977128	8e-06	44459	441.2	50.384619
7	346.0	1.79131699	34.5	76.62	0.61010373	9.33e-06	34223	346.6	49.367555
8	392.0	1.46975708	30.375	76.62	0.66092469	1.067e-05	28101	286.6	49.022306
9	438.0	1.59105682	24.25	76.62	0.62656117	1.2e-05	66587	684.4	48.647748
10	486.0	1.50756073	34.0	76.62	0.63224294	1.333e-05	67200	691.4	48.599294
11	556.0	1.55883789	7.75	76.62	0.6198653	1.467e-05	39476	390.7	50.51754
12	603.0	1.56606722	988.0	76.62	0.62081886	1.6e-05	59876	595.8	50.246777
13	650.0	1.5144577	27.75	76.62	0.62925248	1.733e-05	58481	584.9	49.988296
14	697.0	1.43426323	31.5	76.62	0.64741339	1.867e-05	30234	303.4	49.817671
15	744.0	1.36448097	12.9375	76.62	0.65524946	2e-05	52817	532.6	49.580071
16	785.0	1.44993591	25.5	76.62	0.64731874	1.992e-05	20663	210.6	49.058224
17	833.0	1.41349602	24.125	76.62	0.63529428	1.969e-05	62863	641.6	48.991685
18	878.0	1.39964294	6.21875	76.62	0.64843656	1.93e-05	37594	385.4	48.778851
19	921.0	1.53007126	78.5	76.62	0.62640866	1.876e-05	44143	455.1	48.495957
20	969.0	1.46187496	14.5625	76.62	0.62421868	1.809e-05	54001	557.5	48.435721
21	1032.0	1.38498878	3.8125	76.62	0.65229318	1.729e-05	35412	360.2	49.160437
22	1080.0	1.25178719	29.75	76.62	0.6703301	1.637e-05	36246	369.1	49.101195
23	1128.0	1.4264183	3.921875	76.62	0.63274294	1.536e-05	43318	441.7	49.033536
24	1181.0	1.29294395	7.25	76.62	0.66106404	1.426e-05	62947	639.6	49.21179
25	1235.0	1.4610796	1.7890625	76.62	0.62975467	1.309e-05	86358	873.8	49.414681
26	1281.0	1.27143002	8.0	76.62	0.6595485	1.187e-05	35900	364.3	49.266609
27	1323.0	1.30823898	4.84375	76.62	0.66784248	1.063e-05	55389	565.4	48.98365
28	1371.0	1.26945984	3.734375	76.62	0.66815509	9.37e-06	54815	559.6	48.97641
29	1420.0	1.33860207	7.875	76.62	0.65632713	8.13e-06	67681	691.1	48.968616
30	1466.0	1.35197449	4.5625	76.62	0.64981247	6.91e-06	36269	371.1	48.863349
31	1531.0	1.40246773	5.03125	76.62	0.63663814	5.74e-06	32066	324.6	49.391432
32	1579.0	1.30405426	7.15625	76.62	0.65373862	4.64e-06	31464	318.9	49.328736
33	1622.0	1.37813377	6.1875	76.62	0.65481881	3.63e-06	53310	542.3	49.150157
34	1672.0	1.31887817	83.0	76.62	0.65044005	2.71e-06	64590	656.5	49.189202
35	1719.0	1.33176041	3.84375	76.62	0.65280341	1.91e-06	52403	533.4	49.117379
36	1761.0	1.32528687	85.0	76.62	0.65151187	1.24e-06	18426	188.3	48.924463
37	1808.0	1.45639038	18.25	76.62	0.63104839	7e-07	32810	335.8	48.85773
38	1853.0	1.29932785	2.234375	76.62	0.65320209	3.1e-07	36362	372.9	48.751144
39	1898.0	1.33724976	8.75	76.62	0.65054368	8e-08	43573	447.6	48.677323
40	1944.0	1.46580076	12.5	76.62	0.62885706	0.0	29449	303.0	48.591243
40	1944.0	None	None	76.62	None	None	29449	303.0	48.593843
