# Compare fsdp2_fa3 vs ds_baseline  (first 40 common steps)
# A: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_train_align/run_20260426_180515_warmup15_fa3/logging.jsonl
# B: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_baseline_ds_prod/run_20260424_221109_full_epoch/swift_out/v0-20260425-061132/logging.jsonl
# common steps: 40  (A had 41, B had 295 total)

== Step-1 sanity ==
  fsdp2_fa3.loss   = 2.02941513
  ds_baseline.loss   = 2.02941513
  Δloss     = 0.0  (0.0%)
  fsdp2_fa3.grad   = 153.0
  ds_baseline.grad   = 66.47613525
  Δgrad     = 86.52386475  (130.15778433058048%)

== Aggregate over first N steps ==
  abs(Δloss): n=39 max=0.3598 mean=0.08692 min=0
  abs(Δloss/B): n=39 max=0.2452 mean=0.06286 min=0
  abs(Δgrad/B): n=39 max=49.52 mean=6.038 min=0.009187

== Verdict (heuristic, gemma4 bf16) ==
  loss-pct verdict: BAD (>3%, framework alignment broken)  (max abs Δloss/B = 24.52%)

== Side-by-side ==
 step  fsdp2_fa3.loss  ds_baseline.loss       Δloss    Δloss%  fsdp2_fa3.grad  ds_baseline.grad    Δgrad%  fsdp2_fa3.tok  ds_baseline.tok
    1     2.029415     2.029415     0.00000    0.000%    153.0000     66.4761  130.158%     38498     38498
    2     2.034447     2.036064    -0.00162   -0.079%     44.7500     49.2105   -9.064%     74566     74566
    3     1.759289     1.759430    -0.00014   -0.008%     38.2500     36.5103    4.765%     25739     25739
    4     2.304461     2.265915     0.03855    1.701%   1048.0000     62.9544  1564.696%     32353     32353
    5     2.131699     1.964798     0.16690    8.495%     93.0000     45.0448  106.461%     66302     66302
    6     1.777435     1.589989     0.18745   11.789%   1184.0000     24.3731  4757.817%     44459     44459
    7     1.827072     1.467297     0.35978   24.520%     36.7500      7.5322  387.906%     34223     34223
    8     1.517754     1.280251     0.23750   18.551%     46.5000     11.8632  291.968%     28101     28101
    9     1.696190     1.666924     0.02927    1.756%     39.0000     37.9822    2.680%     66587     66587
   10     1.559929     1.614410    -0.05448   -3.375%     22.6250     18.9287   19.528%     67200     67200
   11     1.566074     1.620769    -0.05469   -3.375%     10.6250     14.5308  -26.879%     39476     39476
   12     1.569133     1.562338     0.00679    0.435%    199.0000      8.6842  2191.523%     59876     59876
   13     1.536234     1.464582     0.07165    4.892%     75.5000      6.2568  1106.684%     58481     58481
   14     1.500086     1.341058     0.15903   11.858%     19.7500     28.1792  -29.913%     30234     30234
   15     1.419781     1.283461     0.13632   10.621%    262.0000      5.1858  4952.240%     52817     52817
   16     1.497242     1.377874     0.11937    8.663%    154.0000      5.4578  2721.632%     20663     20663
   17     1.485905     1.348053     0.13785   10.226%     14.8750      4.2121  253.146%     62863     62863
   18     1.449738     1.356133     0.09361    6.902%     41.2500      3.8378  974.824%     37594     37594
   19     1.572226     1.475413     0.09681    6.562%     80.5000     17.5192  359.495%     44143     44143
   20     1.504568     1.413032     0.09154    6.478%     13.2500      3.3106  300.225%     54001     54001
   21     1.421509     1.316836     0.10467    7.949%      4.5312      4.4900    0.919%     35412     35412
   22     1.275112     1.196651     0.07846    6.557%      9.8125      7.6831   27.715%     36246     36246
   23     1.445225     1.373600     0.07162    5.214%      7.0938      5.9481   19.261%     43318     43318
   24     1.309399     1.243729     0.06567    5.280%     12.8125     17.0929  -25.042%     62947     62947
   25     1.477016     1.407839     0.06918    4.914%     15.4375      9.8608   56.554%     86358     86358
   26     1.283585     1.221627     0.06196    5.072%      2.8594      6.8085  -58.003%     35900     35900
   27     1.319994     1.244276     0.07572    6.085%     40.7500      9.0533  350.114%     55389     55389
   28     1.282953     1.215378     0.06758    5.560%      3.0156      6.1642  -51.079%     54815     54815
   29     1.352449     1.279442     0.07301    5.706%      4.2188      6.6708  -36.758%     67681     67681
   30     1.361439     1.296907     0.06453    4.976%      5.2188     48.1729  -89.167%     36269     36269
   31     1.414320     1.351262     0.06306    4.667%      2.8281      5.1728  -45.327%     32066     32066
   32     1.313530     1.246224     0.06731    5.401%      2.6250     26.0706  -89.931%     31464     31464
   33     1.392680     1.312502     0.08018    6.109%     48.2500     20.6859  133.250%     53310     53310
   34     1.328194     1.261475     0.06672    5.289%    406.0000     18.7560  2064.643%     64590     64590
   35     1.344608     1.284641     0.05997    4.668%      4.0312    251.0589  -98.394%     52403     52403
   36     1.337250     1.270191     0.06706    5.279%      3.7031     48.3645  -92.343%     18426     18426
   37     1.467350     1.398178     0.06917    4.947%     14.8750     14.1162    5.376%     32810     32810
   38     1.306778     1.239101     0.06768    5.462%      3.8906     11.1111  -64.984%     36362     36362
   39     1.345938     1.273068     0.07287    5.724%      2.9219      5.5798  -47.635%     43573     43573
   40            ?     1.396545           ?         ?           ?      9.4341         ?     29449     29449
