step	fsdp2_fa3_loss	ds_baseline_loss	loss_abs	loss_pct	fsdp2_fa3_grad	ds_baseline_grad	grad_abs	grad_pct	fsdp2_fa3_lr	ds_baseline_lr	fsdp2_fa3_tok	ds_baseline_tok
1	2.02941513	2.02941513	0.0	0.0	153.0	66.47613525	86.52386475	1.301577843305805	1.33e-06	1.33e-06	38498	38498
2	2.03444672	2.03606415	-0.0016174300000000308	-0.0007943904910854752	44.75	49.21046448	-4.460464479999999	-0.09064056856876063	2.67e-06	2.67e-06	74566	74566
3	1.75928879	1.75942993	-0.00014113999999998406	-8.021916507921634e-05	38.25	36.51027679	1.739723210000001	0.04765023338515208	4e-06	4e-06	25739	25739
4	2.30446053	2.26591492	0.0385456099999999	0.01701105794387015	1048.0	62.9544487	985.0455512999999	15.646956992572312	5.33e-06	5.33e-06	32353	32353
5	2.13169861	1.96479797	0.16690063999999993	0.08494544607046796	93.0	45.04483032	47.95516968	1.0646098417803962	6.67e-06	6.67e-06	66302	66302
6	1.7774353	1.58998871	0.18744658999999997	0.1178917742126609	1184.0	24.37308884	1159.62691116	47.57816782158826	8e-06	8e-06	44459	44459
7	1.82707214	1.4672966	0.35977554	0.24519619278065524	36.75	7.53219128	29.21780872	3.8790582493013908	9.33e-06	9.33e-06	34223	34223
8	1.5177536	1.28025055	0.23750304999999994	0.18551294510281593	46.5	11.86321068	34.63678932	2.9196808734412527	1.067e-05	1.067e-05	28101	28101
9	1.69618988	1.66692352	0.029266359999999825	0.0175571102386268	39.0	37.98218918	1.0178108200000011	0.026797055198070106	1.2e-05	1.2e-05	66587	66587
10	1.55992889	1.6144104	-0.05448151000000001	-0.033747001382052555	22.625	18.92869186	3.6963081399999993	0.19527541402958837	1.333e-05	1.333e-05	67200	67200
11	1.56607437	1.62076902	-0.05469465000000007	-0.03374611022611974	10.625	14.53076172	-3.905761719999999	-0.26879263422399574	1.467e-05	1.467e-05	39476	39476
12	1.5691328	1.56233835	0.006794449999999896	0.0043488979195831015	199.0	8.68418121	190.31581879	21.915228872797783	1.6e-05	1.6e-05	59876	59876
13	1.5362339	1.46458244	0.07165146	0.048922790580501564	75.5	6.256814	69.243186	11.066844243731712	1.733e-05	1.733e-05	58481	58481
14	1.50008583	1.34105778	0.15902804999999987	0.1185840404281461	19.75	28.1791954	-8.429195400000001	-0.29912832074687273	1.867e-05	1.867e-05	30234	30234
