# Compare fsdp2_fa3 vs ds_baseline  (first 14 common steps)
# A: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_train_align/run_20260426_180515_warmup15_fa3/swift_out/v0-20260427-020542/logging.jsonl
# B: /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_baseline_ds_prod/run_20260424_221109_full_epoch/swift_out/v0-20260425-061132/logging.jsonl
# common steps: 14  (A had 14, B had 295 total)

== Step-1 sanity ==
  fsdp2_fa3.loss   = 2.02941513
  ds_baseline.loss   = 2.02941513
  Δloss     = 0.0  (0.0%)
  fsdp2_fa3.grad   = 153.0
  ds_baseline.grad   = 66.47613525
  Δgrad     = 86.52386475  (130.15778433058048%)

== Aggregate over first N steps ==
  abs(Δloss): n=14 max=0.3598 mean=0.0977 min=0
  abs(Δloss/B): n=14 max=0.2452 mean=0.06488 min=0
  abs(Δgrad/B): n=14 max=47.58 mean=7.593 min=0.0268

== Verdict (heuristic, gemma4 bf16) ==
  loss-pct verdict: BAD (>3%, framework alignment broken)  (max abs Δloss/B = 24.52%)

== Side-by-side ==
 step  fsdp2_fa3.loss  ds_baseline.loss       Δloss    Δloss%  fsdp2_fa3.grad  ds_baseline.grad    Δgrad%  fsdp2_fa3.tok  ds_baseline.tok
    1     2.029415     2.029415     0.00000    0.000%    153.0000     66.4761  130.158%     38498     38498
    2     2.034447     2.036064    -0.00162   -0.079%     44.7500     49.2105   -9.064%     74566     74566
    3     1.759289     1.759430    -0.00014   -0.008%     38.2500     36.5103    4.765%     25739     25739
    4     2.304461     2.265915     0.03855    1.701%   1048.0000     62.9544  1564.696%     32353     32353
    5     2.131699     1.964798     0.16690    8.495%     93.0000     45.0448  106.461%     66302     66302
    6     1.777435     1.589989     0.18745   11.789%   1184.0000     24.3731  4757.817%     44459     44459
    7     1.827072     1.467297     0.35978   24.520%     36.7500      7.5322  387.906%     34223     34223
    8     1.517754     1.280251     0.23750   18.551%     46.5000     11.8632  291.968%     28101     28101
    9     1.696190     1.666924     0.02927    1.756%     39.0000     37.9822    2.680%     66587     66587
   10     1.559929     1.614410    -0.05448   -3.375%     22.6250     18.9287   19.528%     67200     67200
   11     1.566074     1.620769    -0.05469   -3.375%     10.6250     14.5308  -26.879%     39476     39476
   12     1.569133     1.562338     0.00679    0.435%    199.0000      8.6842  2191.523%     59876     59876
   13     1.536234     1.464582     0.07165    4.892%     75.5000      6.2568  1106.684%     58481     58481
   14     1.500086     1.341058     0.15903   11.858%     19.7500     28.1792  -29.913%     30234     30234
