step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	76.0	2.02941513	153.0	73.31	0.61755471	1.33e-06	38498	254.9	75.525301
2	121.0	2.03444672	44.75	76.53	0.60190421	2.67e-06	74566	618.3	60.295776
3	164.0	1.75928879	38.25	76.62	0.64669734	4e-06	25739	235.8	54.585408
4	204.0	2.30446053	1048.0	76.62	0.57706381	5.33e-06	32353	316.7	51.07692
5	250.0	2.13169861	93.0	76.62	0.58547358	6.67e-06	66302	662.4	50.048724
6	296.0	1.7774353	1184.0	76.62	0.62852551	8e-06	44459	449.9	49.407574
7	339.0	1.82707214	36.75	76.62	0.60774694	9.33e-06	34223	353.0	48.481274
8	387.0	1.5177536	46.5	76.62	0.65814098	1.067e-05	28101	290.8	48.317608
9	432.0	1.69618988	39.0	76.62	0.61891048	1.2e-05	66587	694.4	47.945858
10	480.0	1.55992889	22.625	76.62	0.62839135	1.333e-05	67200	699.6	48.029432
11	550.0	1.56607437	10.625	76.62	0.61957132	1.467e-05	39476	394.9	49.979652
12	597.0	1.5691328	199.0	76.62	0.6211244	1.6e-05	59876	601.6	49.764389
13	644.0	1.5362339	75.5	76.62	0.62924047	1.733e-05	58481	590.3	49.530886
14	691.0	1.50008583	19.75	76.62	0.64411133	1.867e-05	30234	306.3	49.354579
15	737.0	1.41978073	262.0	76.62	0.65274114	2e-05	52817	537.8	49.107446
16	777.0	1.49724197	154.0	76.62	0.64353132	1.992e-05	20663	212.6	48.591139
17	825.0	1.48590469	14.875	76.62	0.62791705	1.969e-05	62863	647.5	48.543984
18	871.0	1.44973755	41.25	76.62	0.64242489	1.93e-05	37594	388.6	48.375726
19	913.0	1.57222557	80.5	76.62	0.61941276	1.876e-05	44143	459.3	48.057337
20	961.0	1.5045681	13.25	76.62	0.61795545	1.809e-05	54001	561.7	48.066059
21	1025.0	1.42150879	4.53125	76.62	0.6477211	1.729e-05	35412	362.9	48.786106
22	1073.0	1.27511215	9.8125	76.62	0.66705502	1.637e-05	36246	371.7	48.754799
23	1120.0	1.44522476	7.09375	76.62	0.62990199	1.536e-05	43318	444.8	48.689676
24	1172.0	1.30939865	12.8125	76.62	0.65949622	1.426e-05	62947	644.3	48.849023
25	1235.0	1.47701645	15.4375	76.62	0.62820985	1.309e-05	86358	874.3	49.386137
26	1279.0	1.28358459	2.859375	76.62	0.65742265	1.187e-05	35900	365.0	49.177798
27	1321.0	1.31999397	40.75	76.62	0.66629813	1.063e-05	55389	566.0	48.933795
28	1369.0	1.28295326	3.015625	76.62	0.6658414	9.37e-06	54815	560.7	48.877039
29	1417.0	1.35244942	4.21875	76.62	0.65323826	8.13e-06	67681	692.6	48.86273
30	1461.0	1.36143875	5.21875	76.62	0.64707052	6.91e-06	36269	372.4	48.698077
31	1525.0	1.41432047	2.828125	76.62	0.63421037	5.74e-06	32066	325.9	49.198953
32	1570.0	1.31352997	2.625	76.62	0.65297291	4.64e-06	31464	320.7	49.061069
33	1614.0	1.39267969	48.25	76.62	0.65332955	3.63e-06	53310	545.0	48.910512
34	1664.0	1.32819414	406.0	76.62	0.64918824	2.71e-06	64590	659.8	48.944475
35	1709.0	1.34460831	4.03125	76.62	0.65048777	1.91e-06	52403	536.7	48.818491
36	1751.0	1.33724976	3.703125	76.62	0.64991961	1.24e-06	18426	189.4	48.652042
37	1796.0	1.46735001	14.875	76.62	0.62872846	7e-07	32810	337.9	48.551534
38	1840.0	1.30677795	3.890625	76.62	0.65150794	3.1e-07	36362	375.5	48.421261
39	1886.0	1.34593773	2.921875	76.62	0.64866892	8e-08	43573	450.6	48.348078
40	1931.0	1.47576237	2.21875	76.62	0.62763755	0.0	29449	305.1	48.268264
40	1931.0	None	None	76.62	None	None	29449	305.0	48.270856
