step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	62.0	2.0298233	89.0	76.25	0.61760377	2.5e-06	None	None	62.362813
2	106.0	2.02993011	53.0	76.49	0.60220774	5e-06	None	None	53.155228
3	148.0	1.74602509	40.5	76.62	0.64765256	7.5e-06	None	None	49.239982
4	187.0	2.22241592	43.25	76.62	0.58106054	1e-05	None	None	46.720266
5	232.0	1.97100067	38.25	76.62	0.5927701	9.98e-06	None	None	46.340732
6	276.0	1.51745224	30.25	76.62	0.64591638	9.92e-06	None	None	45.937716
7	319.0	1.50274086	57.0	76.62	0.63144309	9.83e-06	None	None	45.533294
8	365.0	1.29272461	8.4375	76.62	0.67371322	9.7e-06	None	None	45.66939
9	409.0	1.49812698	6.59375	76.62	0.63182647	9.53e-06	None	None	45.440577
10	451.0	1.47150421	11.1875	76.62	0.63557461	9.33e-06	None	None	45.110253
11	494.0	1.53502464	8.0	76.62	0.62077398	9.1e-06	None	None	44.948081
12	538.0	1.5304184	22.875	76.62	0.62505371	8.83e-06	None	None	44.828175
13	586.0	1.46383476	6.78125	76.62	0.63376764	8.54e-06	None	None	45.114112
14	637.0	1.37878036	8.3125	76.62	0.65201268	8.21e-06	None	None	45.485277
15	681.0	1.30600929	11.8125	76.62	0.66231314	7.87e-06	None	None	45.375871
16	722.0	1.43685532	6.875	76.62	0.64942287	7.5e-06	None	None	45.1076
17	767.0	1.39751625	194.0	76.62	0.63875954	7.11e-06	None	None	45.127168
18	809.0	1.39699554	89.5	76.62	0.6514291	6.71e-06	None	None	44.93332
19	852.0	1.5442009	3.71875	76.62	0.62644312	6.29e-06	None	None	44.833426
20	896.0	1.47187519	2.546875	76.62	0.62423136	5.87e-06	None	None	44.80081
21	936.0	1.41231155	3.46875	76.62	0.65046435	5.44e-06	None	None	44.54839
22	980.0	1.27584648	5.25	76.62	0.66890615	5e-06	None	None	44.55184
23	1028.0	1.4527626	3.671875	76.62	0.62957576	4.56e-06	None	None	44.699055
24	1081.0	1.32043076	13.6875	76.62	0.6587469	4.13e-06	None	None	45.026469
25	1137.0	1.49263	15.4375	76.62	0.62718679	3.71e-06	None	None	45.474201
26	1182.0	1.30487823	5.40625	76.62	0.65609228	3.29e-06	None	None	45.479744
27	1224.0	1.35350418	8.125	76.62	0.66303394	2.89e-06	None	None	45.338246
28	1271.0	1.30696487	3.84375	76.62	0.66475716	2.5e-06	None	None	45.406173
29	1319.0	1.37874794	8.25	76.62	0.6511309	2.13e-06	None	None	45.466512
30	1362.0	1.39311981	3.09375	76.62	0.6445843	1.79e-06	None	None	45.390251
31	1404.0	1.44431114	6.9375	76.62	0.63191916	1.46e-06	None	None	45.295027
32	1451.0	1.34508705	5.75	76.62	0.64966645	1.17e-06	None	None	45.329217
33	1495.0	1.42908382	2.171875	76.62	0.64968442	9e-07	None	None	45.291134
34	1545.0	1.36317158	9.875	76.62	0.64498576	6.7e-07	None	None	45.440097
35	1590.0	1.37683487	2.40625	76.62	0.64769067	4.7e-07	None	None	45.425675
36	1631.0	1.37366486	9.5625	76.62	0.64736891	3e-07	None	None	45.304953
37	1676.0	1.50268936	18.375	76.62	0.62448906	1.7e-07	None	None	45.309045
38	1721.0	1.34370804	89.5	76.62	0.64748957	8e-08	None	None	45.278517
39	1768.0	1.38547516	21.625	76.62	0.6447694	2e-08	None	None	45.345492
40	1816.0	1.50823975	2.140625	76.62	0.62443279	0.0	None	None	45.39056
40	1816.0	None	None	76.62	None	None	None	None	45.393048
