step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	8.0	1.921875	33.25	64.91	0.64174813	3.33e-06	919	59.6	7.710586
2	10.0	2.71313477	246.0	64.91	0.53651232	6.67e-06	2166	219.8	4.927046
3	12.0	1.59179688	36.75	64.92	0.67583548	1e-05	11968	1498.9	3.992144
4	13.0	1.8515625	39.5	65.07	0.63487179	9.97e-06	221	34.1	3.242746
5	14.0	1.74145508	42.0	65.07	0.62671807	9.87e-06	670	116.8	2.867954
6	16.0	1.08032227	11.25	65.07	0.7443753	9.7e-06	1097	212.1	2.586313
7	17.0	1.86877441	43.0	65.07	0.59450792	9.47e-06	5148	1069.1	2.407678
8	18.0	1.04492188	13.875	65.08	0.76022147	9.18e-06	236	52.9	2.230069
9	19.0	2.15625	16.75	65.08	0.5355273	8.83e-06	778	187.0	2.079793
10	21.0	2.2109375	21.375	65.08	0.52187902	8.43e-06	1289	310.1	2.078092
11	23.0	1.73046875	62.5	65.08	0.59415911	7.99e-06	929	221.8	2.093985
12	24.0	1.29833984	12.9375	65.08	0.67233319	7.5e-06	1384	342.5	2.020321
13	26.0	1.50488281	10.1875	65.08	0.63267485	6.98e-06	5735	1460.6	1.963207
14	28.0	1.46130371	38.0	65.08	0.63400499	6.43e-06	4836	1215.9	1.988614
15	29.0	1.02490234	9.875	65.08	0.71403925	5.87e-06	1036	263.6	1.965125
16	30.0	1.09472656	32.5	65.08	0.72342995	5.29e-06	86	22.6	1.903093
17	32.0	1.70898438	22.375	65.08	0.59622289	4.71e-06	9609	2533.7	1.896201
18	35.0	1.47613525	15.5625	65.08	0.6110762	4.13e-06	13702	3506.2	1.953947
19	36.0	0.80493164	6.625	65.08	0.76732673	3.57e-06	1351	356.2	1.896357
20	38.0	1.00366211	13.5625	65.08	0.71547061	3.02e-06	7527	1991.1	1.890182
21	39.0	1.31445312	38.75	65.08	0.65520728	2.5e-06	698	187.6	1.86083
22	40.0	1.23388672	11.0	65.08	0.69221411	2.01e-06	985	271.3	1.815269
23	41.0	1.73779297	10.125	65.08	0.59005311	1.57e-06	3550	995.8	1.782513
24	43.0	1.02636719	10.75	65.08	0.72624973	1.17e-06	12561	3489.5	1.799838
25	44.0	1.51037598	12.8125	65.08	0.61835578	8.2e-07	851	240.2	1.771771
26	46.0	1.27880859	12.75	65.08	0.65911237	5.3e-07	1131	317.5	1.780892
27	48.0	2.36669922	13.0	65.08	0.49507736	3e-07	842	235.8	1.78534
28	49.0	1.35595703	6.5625	65.08	0.65696401	1.3e-07	757	215.0	1.760628
29	50.0	0.68261719	6.5	65.08	0.82027217	3e-08	576	166.1	1.734072
30	53.0	1.76074219	27.375	65.08	0.57308788	0.0	13587	3869.6	1.755586
30	53.0	None	None	65.08	None	None	13587	3864.1	1.758113
