# Loss curve from /home/ubuntu/fyh/megatron_output/gemma4_opt/p1_gbs_sweep/_bench/run_mbs1_ga1_gbs4/v0-20260427-024822/logging.jsonl
# 31 steps, 30 valid loss values
# elapsed: 53s = 0.9min
# loss: first=1.9219  last=1.7607  min=0.6826  mean=1.5186
# NaN steps: 0

  step    elapsed      loss   grad_norm   mem_gib    tok/step  spark
     1         8s    1.9219     33.2500     64.91         919  ▄
     2        10s    2.7131    246.0000     64.91        2166  █
     3        12s    1.5918     36.7500     64.92       11968  ▃
     4        13s    1.8516     39.5000     65.07         221  ▄
     5        14s    1.7415     42.0000     65.07         670  ▄
     6        16s    1.0803     11.2500     65.07        1097  ▁
     7        17s    1.8688     43.0000     65.07        5148  ▄
     8        18s    1.0449     13.8750     65.08         236  ▁
     9        19s    2.1562     16.7500     65.08         778  ▅
    10        21s    2.2109     21.3750     65.08        1289  ▆
    11        23s    1.7305     62.5000     65.08         929  ▄
    12        24s    1.2983     12.9375     65.08        1384  ▂
    13        26s    1.5049     10.1875     65.08        5735  ▃
    14        28s    1.4613     38.0000     65.08        4836  ▃
    15        29s    1.0249      9.8750     65.08        1036  ▁
    16        30s    1.0947     32.5000     65.08          86  ▁
    17        32s    1.7090     22.3750     65.08        9609  ▄
    18        35s    1.4761     15.5625     65.08       13702  ▃
    19        36s    0.8049      6.6250     65.08        1351   
    20        38s    1.0037     13.5625     65.08        7527  ▁
    21        39s    1.3145     38.7500     65.08         698  ▂
    22        40s    1.2339     11.0000     65.08         985  ▂
    23        41s    1.7378     10.1250     65.08        3550  ▄
    24        43s    1.0264     10.7500     65.08       12561  ▁
    25        44s    1.5104     12.8125     65.08         851  ▃
    26        46s    1.2788     12.7500     65.08        1131  ▂
    27        48s    2.3667     13.0000     65.08         842  ▆
    28        49s    1.3560      6.5625     65.08         757  ▂
    29        50s    0.6826      6.5000     65.08         576   
    30        53s    1.7607     27.3750     65.08       13587  ▄
    30        53s    0.0000      0.0000     65.08       13587  ?
