step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	8.0	1.921875	33.25	64.91	0.64174813	3.33e-06	919	54.6	8.418516
2	11.0	2.71313477	244.0	64.91	0.53651232	6.67e-06	2166	204.1	5.307064
3	13.0	1.59082031	40.5	64.92	0.67763496	1e-05	11968	1411.0	4.24103
4	14.0	1.85449219	144.0	65.07	0.63384615	9.97e-06	221	32.2	3.432555
5	15.0	1.74438477	95.0	65.07	0.62537714	9.87e-06	670	111.0	3.018945
6	16.0	1.09643555	14.0	65.07	0.74501356	9.7e-06	1097	202.2	2.712458
7	18.0	1.93041992	33.5	65.07	0.59470836	9.47e-06	5148	1029.4	2.500373
8	18.0	1.08105469	21.875	65.08	0.75553663	9.18e-06	236	51.1	2.30696
9	19.0	2.203125	18.125	65.08	0.52879581	8.83e-06	778	181.1	2.147568
10	21.0	2.24511719	15.625	65.08	0.52252252	8.43e-06	1289	299.8	2.149758
11	24.0	1.74023438	41.25	65.08	0.59466264	7.99e-06	929	216.3	2.147181
12	25.0	1.30224609	8.3125	65.08	0.67105822	7.5e-06	1384	334.7	2.067573
13	26.0	1.50878906	10.375	65.08	0.62947144	6.98e-06	5735	1429.3	2.006274
14	28.0	1.46252441	8.3125	65.08	0.63079529	6.43e-06	4836	1192.6	2.02754
15	30.0	1.02392578	8.875	65.08	0.71835238	5.87e-06	1036	258.9	2.000608
16	31.0	1.10449219	9.875	65.08	0.71859903	5.29e-06	86	22.2	1.936238
17	33.0	1.70410156	11.4375	65.08	0.59622289	4.71e-06	9609	2493.4	1.926902
18	36.0	1.46737671	14.0625	65.08	0.61139042	4.13e-06	13702	3471.3	1.973634
19	36.0	0.81274414	6.59375	65.08	0.76815182	3.57e-06	1351	352.8	1.914467
20	38.0	0.99951172	8.125	65.08	0.71438875	3.02e-06	7527	1973.6	1.90693
21	39.0	1.31445312	10.0	65.08	0.65116279	2.5e-06	698	186.0	1.87606
22	40.0	1.24560547	11.375	65.08	0.68978102	2.01e-06	985	269.1	1.83015
23	41.0	1.73779297	11.5	65.08	0.58474167	1.57e-06	3550	988.2	1.796113
24	44.0	1.02734375	7.625	65.08	0.72776455	1.17e-06	12561	3464.0	1.813093
25	45.0	1.50878906	9.8125	65.08	0.62296244	8.2e-07	851	238.5	1.784408
26	46.0	1.27294922	12.1875	65.08	0.66383381	5.3e-07	1131	316.8	1.784793
27	48.0	2.36279297	11.4375	65.08	0.49648383	3e-07	842	235.4	1.788695
28	49.0	1.35986328	10.0	65.08	0.65884194	1.3e-07	757	214.3	1.766076
29	50.0	0.68847656	44.5	65.08	0.82027217	3e-08	576	165.6	1.739152
30	53.0	1.76013184	11.4375	65.08	0.57243042	0.0	13587	3859.2	1.760345
30	53.0	None	None	65.08	None	None	13587	3854.0	1.762694
