# Loss curve from /home/ubuntu/fyh/megatron_output/gemma4_opt/p1_gbs_sweep/_bench/run_mbs1_ga1_gbs4_truncRIGHT/v0-20260427-041213/logging.jsonl
# 31 steps, 30 valid loss values
# elapsed: 53s = 0.9min
# loss: first=1.9219  last=1.7601  min=0.6885  mean=1.5262
# NaN steps: 0

  step    elapsed      loss   grad_norm   mem_gib    tok/step  spark
     1         8s    1.9219     33.2500     64.91         919  ▄
     2        11s    2.7131    244.0000     64.91        2166  █
     3        13s    1.5908     40.5000     64.92       11968  ▃
     4        14s    1.8545    144.0000     65.07         221  ▄
     5        15s    1.7444     95.0000     65.07         670  ▄
     6        16s    1.0964     14.0000     65.07        1097  ▁
     7        18s    1.9304     33.5000     65.07        5148  ▄
     8        18s    1.0811     21.8750     65.08         236  ▁
     9        19s    2.2031     18.1250     65.08         778  ▅
    10        21s    2.2451     15.6250     65.08        1289  ▆
    11        24s    1.7402     41.2500     65.08         929  ▄
    12        25s    1.3022      8.3125     65.08        1384  ▂
    13        26s    1.5088     10.3750     65.08        5735  ▃
    14        28s    1.4625      8.3125     65.08        4836  ▃
    15        30s    1.0239      8.8750     65.08        1036  ▁
    16        31s    1.1045      9.8750     65.08          86  ▁
    17        33s    1.7041     11.4375     65.08        9609  ▄
    18        36s    1.4674     14.0625     65.08       13702  ▃
    19        36s    0.8127      6.5938     65.08        1351   
    20        38s    0.9995      8.1250     65.08        7527  ▁
    21        39s    1.3145     10.0000     65.08         698  ▂
    22        40s    1.2456     11.3750     65.08         985  ▂
    23        41s    1.7378     11.5000     65.08        3550  ▄
    24        44s    1.0273      7.6250     65.08       12561  ▁
    25        45s    1.5088      9.8125     65.08         851  ▃
    26        46s    1.2729     12.1875     65.08        1131  ▂
    27        48s    2.3628     11.4375     65.08         842  ▆
    28        49s    1.3599     10.0000     65.08         757  ▂
    29        50s    0.6885     44.5000     65.08         576   
    30        53s    1.7601     11.4375     65.08       13587  ▄
    30        53s    0.0000      0.0000     65.08       13587  ?
