step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	31.0	2.37011719	140.0	61.12	0.58332268	3.33e-06	3085	49.7	31.016102
2	49.0	1.67871094	61.25	62.13	0.66659815	6.67e-06	12189	247.4	24.635397
3	67.0	1.56616211	1560.0	62.13	0.68012752	1e-05	1767	39.6	22.301179
4	85.0	2.02404785	82.0	62.14	0.6344555	9.97e-06	5384	127.2	21.161937
5	102.0	2.61035156	38.25	62.14	0.51275213	9.87e-06	2067	50.4	20.49463
6	121.0	1.73730469	37.5	62.14	0.61373588	9.7e-06	2313	57.2	20.231453
7	141.0	1.61962891	44.5	64.25	0.61249904	9.47e-06	10571	261.7	20.200478
8	159.0	1.07919312	8.5625	64.25	0.71198536	9.18e-06	1122	28.2	19.911188
9	179.0	1.60594177	8.9375	75.95	0.59881453	8.83e-06	23311	584.4	19.943699
10	197.0	0.9385376	108.5	76.53	0.73600154	8.43e-06	8878	224.8	19.743822
11	217.0	1.33642578	10.0	76.53	0.66427388	7.99e-06	1683	42.7	19.703685
12	236.0	1.26794434	53.75	76.53	0.67976689	7.5e-06	16111	409.7	19.661878
13	254.0	1.41815186	80.5	76.53	0.63866397	6.98e-06	1982	50.8	19.527008
14	273.0	1.84240723	6.28125	76.53	0.58254678	6.43e-06	1599	41.0	19.481187
15	293.0	1.4262085	6.9375	76.53	0.64878996	5.87e-06	14163	363.0	19.505793
16	311.0	1.07836914	6.875	76.53	0.71788137	5.29e-06	6839	175.8	19.448551
17	329.0	1.05357361	5.0	76.53	0.71067859	4.71e-06	1144	29.5	19.379025
18	348.0	0.87133789	4.0	76.53	0.77063388	4.13e-06	2716	70.2	19.333799
19	366.0	1.61474609	7.25	76.53	0.61522634	3.57e-06	2340	60.7	19.276728
20	385.0	1.09008789	5.46875	76.53	0.73373075	3.02e-06	1994	51.8	19.238988
21	402.0	1.21606445	169.0	76.53	0.68325243	2.5e-06	4531	118.2	19.160104
22	420.0	1.16113281	9.5	76.53	0.69620253	2.01e-06	1906	49.9	19.083689
23	439.0	1.55688477	50.5	76.53	0.60912722	1.57e-06	9612	251.5	19.107594
24	459.0	1.21618652	8.4375	76.53	0.68445888	1.17e-06	1496	39.1	19.127863
25	477.0	1.33790588	4.90625	76.53	0.68728039	8.2e-07	2941	77.1	19.066494
26	496.0	1.73025513	15.625	76.53	0.58175125	5.3e-07	1716	44.9	19.091252
27	515.0	1.98455811	14.8125	76.53	0.55786196	3e-07	9369	245.4	19.088046
28	534.0	0.9465332	6.65625	76.53	0.73700306	1.3e-07	2477	65.0	19.068447
29	553.0	1.73138428	8.375	76.53	0.59902903	3e-08	2124	55.7	19.07178
30	571.0	1.67419434	10.875	76.53	0.60873275	0.0	8068	211.8	19.042804
30	571.0	None	None	76.53	None	None	8068	211.8	19.045767
