# Loss curve from /home/ubuntu/fyh/megatron_output/gemma4_opt/p1_gbs_sweep/_bench/run_mbs1_ga4_gbs16_offload/v0-20260427-031042/logging.jsonl
# 31 steps, 30 valid loss values
# elapsed: 692s = 11.5min
# loss: first=2.1036  last=1.1814  min=0.9874  mean=1.5233
# NaN steps: 0

  step    elapsed      loss   grad_norm   mem_gib    tok/step  spark
     1        36s    2.1036     94.0000     75.90       15274  ▅
     2        57s    1.7776    468.0000     75.90        7151  ▄
     3        79s    2.5664    253.0000     75.90        4380  █
     4       101s    1.8434     51.2500     75.90       11693  ▄
     5       124s    1.7571     39.7500     76.51       32189  ▃
     6       147s    1.4718     25.2500     76.51       17794  ▂
     7       169s    1.7652     22.8750     76.51        3581  ▃
     8       192s    1.3341      7.4375     76.51       21002  ▁
     9       214s    0.9874      5.9688     76.51        3860   
    10       236s    1.4071      6.2188     76.51        4334  ▂
    11       256s    1.2196     12.0625     76.51        6437  ▁
    12       281s    1.4348     10.8125     76.51       11108  ▂
    13       303s    1.6725      9.6875     76.51        4657  ▃
    14       325s    1.7746     16.3750     76.51       11846  ▃
    15       348s    1.7174    110.0000     76.51       10192  ▃
    16       369s    1.3696     10.0000     76.51        5658  ▁
    17       392s    1.3156    384.0000     76.51       15219  ▁
    18       414s    1.5623     21.5000     76.51       21713  ▂
    19       439s    1.4915     14.5000     76.51       12543  ▂
    20       463s    1.6853     16.8750     76.51       16827  ▃
    21       485s    1.3090     11.4375     76.51        5159  ▁
    22       509s    1.4495    103.0000     76.51       23396  ▂
    23       533s    1.2943      9.1875     76.51       11015  ▁
    24       554s    1.1266      4.6875     76.51        4889   
    25       578s    1.4062     22.5000     76.51       11318  ▂
    26       600s    1.3603    258.0000     76.51        5783  ▁
    27       622s    1.6105     84.5000     76.51        5712  ▃
    28       645s    1.3565     12.0000     76.58       11410  ▁
    29       668s    1.3484     17.1250     76.58       13723  ▁
    30       692s    1.1814      5.1250     76.58        5083   
    30       692s    0.0000      0.0000     76.58        5083  ?
