step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	8.0	1.921875	33.25	64.91	0.64174813	3.33e-06	919	58.6	7.841303
2	9.0	2.71313477	244.0	64.91	0.53651232	6.67e-06	2166	234.3	4.622185
3	11.0	1.58789062	34.25	64.91	0.67712082	1e-05	11968	1577.6	3.793099
4	12.0	1.85351562	39.5	64.93	0.63282051	9.97e-06	221	36.1	3.062648
5	14.0	1.73266602	43.0	64.93	0.62587999	9.87e-06	670	123.2	2.718529
6	15.0	1.08032227	11.0625	64.93	0.74708792	9.7e-06	1097	223.3	2.4565
7	16.0	1.88024902	436.0	64.93	0.59671277	9.47e-06	5148	1131.1	2.275629
8	17.0	1.06054688	14.625	64.94	0.76022147	9.18e-06	236	56.0	2.108662
9	18.0	2.18261719	17.25	64.94	0.53403141	8.83e-06	778	197.8	1.966234
10	19.0	2.22753906	19.125	64.94	0.52209352	8.43e-06	1289	335.1	1.923253
11	21.0	1.73828125	27.375	64.94	0.59315206	7.99e-06	929	238.8	1.945278
12	23.0	1.29394531	7.03125	64.94	0.67233319	7.5e-06	1384	367.8	1.881232
13	24.0	1.51074219	13.125	64.94	0.63267485	6.98e-06	5735	1564.3	1.833062
14	26.0	1.46032715	15.3125	64.94	0.63418331	6.43e-06	4836	1293.8	1.86893
15	28.0	1.01416016	15.25	64.94	0.72007764	5.87e-06	1036	275.6	1.879325
16	29.0	1.09692383	10.4375	64.94	0.71980676	5.29e-06	86	23.6	1.818584
17	31.0	1.703125	352.0	64.94	0.59694097	4.71e-06	9609	2644.7	1.816646
18	33.0	1.46621704	13.8125	64.94	0.61139042	4.13e-06	13702	3703.5	1.849856
19	34.0	0.80639648	6.40625	64.94	0.76773927	3.57e-06	1351	376.1	1.796254
20	36.0	1.00244141	11.375	64.94	0.71619185	3.02e-06	7527	2096.6	1.795049
21	37.0	1.31640625	11.375	64.94	0.65824065	2.5e-06	698	197.3	1.769059
22	38.0	1.24121094	10.875	64.94	0.68856448	2.01e-06	985	285.4	1.725615
23	39.0	1.74121094	7.78125	64.94	0.58812168	1.57e-06	3550	1047.7	1.694132
24	41.0	1.02636719	8.6875	64.94	0.72581692	1.17e-06	12561	3658.8	1.716551
25	42.0	1.50854492	11.25	64.94	0.62119064	8.2e-07	851	251.8	1.689981
26	43.0	1.27294922	12.8125	64.94	0.65769594	5.3e-07	1131	339.4	1.666098
27	45.0	2.36230469	12.1875	64.94	0.49894515	3e-07	842	251.3	1.675023
28	46.0	1.35717773	39.5	64.94	0.65758998	1.3e-07	757	229.0	1.653081
29	47.0	0.68359375	6.46875	64.94	0.81933365	3e-08	576	176.9	1.627993
30	50.0	1.76098633	175.0	64.94	0.57308788	0.0	13587	4107.9	1.653781
30	50.0	None	None	64.94	None	None	13587	4102.0	1.656144
