# Loss curve from /home/ubuntu/fyh/megatron_output/gemma4_opt/p2_no_ac/_bench/run_gbs4_no_ac_native/v0-20260427-043232/logging.jsonl
# 31 steps, 30 valid loss values
# elapsed: 50s = 0.8min
# loss: first=1.9219  last=1.7610  min=0.6836  mean=1.5201
# NaN steps: 0

  step    elapsed      loss   grad_norm   mem_gib    tok/step  spark
     1         8s    1.9219     33.2500     64.91         919  ▄
     2         9s    2.7131    244.0000     64.91        2166  █
     3        11s    1.5879     34.2500     64.91       11968  ▃
     4        12s    1.8535     39.5000     64.93         221  ▄
     5        14s    1.7327     43.0000     64.93         670  ▄
     6        15s    1.0803     11.0625     64.93        1097  ▁
     7        16s    1.8802    436.0000     64.93        5148  ▄
     8        17s    1.0605     14.6250     64.94         236  ▁
     9        18s    2.1826     17.2500     64.94         778  ▅
    10        19s    2.2275     19.1250     64.94        1289  ▆
    11        21s    1.7383     27.3750     64.94         929  ▄
    12        23s    1.2939      7.0312     64.94        1384  ▂
    13        24s    1.5107     13.1250     64.94        5735  ▃
    14        26s    1.4603     15.3125     64.94        4836  ▃
    15        28s    1.0142     15.2500     64.94        1036  ▁
    16        29s    1.0969     10.4375     64.94          86  ▁
    17        31s    1.7031    352.0000     64.94        9609  ▄
    18        33s    1.4662     13.8125     64.94       13702  ▃
    19        34s    0.8064      6.4062     64.94        1351   
    20        36s    1.0024     11.3750     64.94        7527  ▁
    21        37s    1.3164     11.3750     64.94         698  ▂
    22        38s    1.2412     10.8750     64.94         985  ▂
    23        39s    1.7412      7.7812     64.94        3550  ▄
    24        41s    1.0264      8.6875     64.94       12561  ▁
    25        42s    1.5085     11.2500     64.94         851  ▃
    26        43s    1.2729     12.8125     64.94        1131  ▂
    27        45s    2.3623     12.1875     64.94         842  ▆
    28        46s    1.3572     39.5000     64.94         757  ▂
    29        47s    0.6836      6.4688     64.94         576   
    30        50s    1.7610    175.0000     64.94       13587  ▄
    30        50s    0.0000      0.0000     64.94       13587  ?
