step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	29.0	1.921875	33.25	53.21	0.64174813	3.33e-06	919	15.7	29.277246
2	45.0	2.71313477	246.0	53.21	0.53651232	6.67e-06	2166	47.8	22.677979
3	62.0	1.59082031	40.0	53.21	0.67506427	1e-05	11968	288.7	20.729627
4	78.0	1.84667969	219.0	53.22	0.63487179	9.97e-06	221	5.7	19.523631
5	95.0	1.76269531	131.0	53.22	0.62520952	9.87e-06	670	17.6	18.983567
6	112.0	1.10717773	13.6875	53.22	0.74453487	9.7e-06	1097	29.5	18.604026
7	129.0	1.96044922	35.0	53.22	0.59370615	9.47e-06	5148	140.2	18.36317
8	145.0	1.09521484	17.75	53.22	0.75553663	9.18e-06	236	6.5	18.175388
9	162.0	2.22558594	19.375	53.22	0.5302917	8.83e-06	778	21.6	18.005239
10	179.0	2.24584961	22.5	53.22	0.52145002	8.43e-06	1289	35.9	17.941375
11	197.0	1.7421875	34.25	53.22	0.59013092	7.99e-06	929	25.9	17.917372
12	214.0	1.29638672	7.3125	53.22	0.66935827	7.5e-06	1384	38.8	17.843924
13	231.0	1.51074219	14.125	53.22	0.63320876	6.98e-06	5735	161.3	17.772194
14	249.0	1.46337891	9.0625	53.22	0.63115193	6.43e-06	4836	135.8	17.81053
15	266.0	1.01806641	8.5625	53.22	0.72094026	5.87e-06	1036	29.2	17.763732
16	283.0	1.09960938	12.875	53.22	0.71859903	5.29e-06	86	2.4	17.714787
17	301.0	1.70263672	11.625	53.22	0.59665374	4.71e-06	9609	271.6	17.691909
18	319.0	1.46640015	13.5	53.22	0.61139042	4.13e-06	13702	386.8	17.710412
19	336.0	0.81225586	16.0	53.22	0.76567657	3.57e-06	1351	38.2	17.666022
20	353.0	1.00146484	7.625	53.22	0.71330689	3.02e-06	7527	213.2	17.651422
21	370.0	1.31835938	9.8125	53.22	0.65015167	2.5e-06	698	19.8	17.629621
22	387.0	1.25341797	11.5	53.22	0.68734793	2.01e-06	985	28.0	17.585008
23	404.0	1.74121094	69.5	53.22	0.58570739	1.57e-06	3550	101.0	17.569397
24	422.0	1.02490234	45.25	53.22	0.72624973	1.17e-06	12561	357.2	17.584501
25	439.0	1.50878906	224.0	53.22	0.62437987	8.2e-07	851	24.2	17.571647
26	456.0	1.2734375	15.4375	53.22	0.65958451	5.3e-07	1131	32.2	17.555589
27	474.0	2.36230469	11.3125	53.22	0.4978903	3e-07	842	24.0	17.563422
28	491.0	1.359375	7.0	53.22	0.65508607	1.3e-07	757	21.6	17.536628
29	508.0	0.69042969	50.75	53.22	0.81933365	3e-08	576	16.4	17.518231
30	526.0	1.75170898	9.875	53.22	0.57352619	0.0	13587	387.3	17.538871
30	526.0	None	None	53.22	None	None	13587	387.3	17.541029
