# Loss curve from /home/ubuntu/fyh/megatron_output/gemma4_opt/p2_no_ac/_bench/run_gbs4_no_ac_offload/v0-20260427-043428/logging.jsonl
# 31 steps, 30 valid loss values
# elapsed: 526s = 8.8min
# loss: first=1.9219  last=1.7517  min=0.6904  mean=1.5289
# NaN steps: 0

  step    elapsed      loss   grad_norm   mem_gib    tok/step  spark
     1        29s    1.9219     33.2500     53.21         919  ▄
     2        45s    2.7131    246.0000     53.21        2166  █
     3        62s    1.5908     40.0000     53.21       11968  ▃
     4        78s    1.8467    219.0000     53.22         221  ▄
     5        95s    1.7627    131.0000     53.22         670  ▄
     6       112s    1.1072     13.6875     53.22        1097  ▁
     7       129s    1.9604     35.0000     53.22        5148  ▅
     8       145s    1.0952     17.7500     53.22         236  ▁
     9       162s    2.2256     19.3750     53.22         778  ▆
    10       179s    2.2458     22.5000     53.22        1289  ▆
    11       197s    1.7422     34.2500     53.22         929  ▄
    12       214s    1.2964      7.3125     53.22        1384  ▂
    13       231s    1.5107     14.1250     53.22        5735  ▃
    14       249s    1.4634      9.0625     53.22        4836  ▃
    15       266s    1.0181      8.5625     53.22        1036  ▁
    16       283s    1.0996     12.8750     53.22          86  ▁
    17       301s    1.7026     11.6250     53.22        9609  ▄
    18       319s    1.4664     13.5000     53.22       13702  ▃
    19       336s    0.8123     16.0000     53.22        1351   
    20       353s    1.0015      7.6250     53.22        7527  ▁
    21       370s    1.3184      9.8125     53.22         698  ▂
    22       387s    1.2534     11.5000     53.22         985  ▂
    23       404s    1.7412     69.5000     53.22        3550  ▄
    24       422s    1.0249     45.2500     53.22       12561  ▁
    25       439s    1.5088    224.0000     53.22         851  ▃
    26       456s    1.2734     15.4375     53.22        1131  ▂
    27       474s    2.3623     11.3125     53.22         842  ▆
    28       491s    1.3594      7.0000     53.22         757  ▂
    29       508s    0.6904     50.7500     53.22         576   
    30       526s    1.7517      9.8750     53.22       13587  ▄
    30       526s    0.0000      0.0000     53.22       13587  ?
