step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	29.0	1.921875	33.25	55.36	0.64174813	3.33e-06	919	15.9	28.859397
2	45.0	2.71313477	244.0	56.32	0.53651232	6.67e-06	2166	48.3	22.424882
3	62.0	1.59472656	41.0	68.02	0.67943445	1e-05	11968	288.9	20.713933
4	79.0	1.84765625	39.25	68.05	0.63282051	9.97e-06	221	5.6	19.643734
5	96.0	1.73339844	1240.0	68.05	0.62487429	9.87e-06	670	17.5	19.126346
6	112.0	1.09399414	12.5625	68.05	0.74469443	9.7e-06	1097	29.3	18.744236
7	129.0	1.93505859	43.5	68.05	0.59230307	9.47e-06	5148	139.2	18.494416
8	146.0	1.08740234	16.625	68.05	0.75425894	9.18e-06	236	6.5	18.242777
9	163.0	2.20410156	17.75	68.05	0.52879581	8.83e-06	778	21.5	18.066832
10	180.0	2.24462891	17.375	68.05	0.52316602	8.43e-06	1289	35.8	17.986191
11	198.0	1.73974609	27.375	68.05	0.59264854	7.99e-06	929	25.8	17.970438
12	214.0	1.29443359	8.125	68.05	0.6719082	7.5e-06	1384	38.7	17.866885
13	231.0	1.51074219	11.5625	68.05	0.63374266	6.98e-06	5735	161.2	17.786223
14	249.0	1.46276855	10.5	68.05	0.63186519	6.43e-06	4836	135.9	17.788479
15	266.0	1.02099609	8.875	68.05	0.71899935	5.87e-06	1036	29.2	17.761248
16	283.0	1.10327148	9.75	68.05	0.71859903	5.29e-06	86	2.4	17.686238
17	301.0	1.703125	25.125	68.05	0.59643832	4.71e-06	9609	271.7	17.68576
18	319.0	1.46743774	14.0	68.05	0.61225452	4.13e-06	13702	387.1	17.700496
19	335.0	0.81054688	7.0	68.05	0.76732673	3.57e-06	1351	38.3	17.651711
20	353.0	0.99902344	10.25	68.05	0.71835557	3.02e-06	7527	213.3	17.640483
21	370.0	1.31445312	11.5625	68.05	0.65217391	2.5e-06	698	19.8	17.612668
22	387.0	1.23730469	11.1875	68.05	0.68978102	2.01e-06	985	28.0	17.568882
23	403.0	1.74072266	8.1875	68.05	0.58763882	1.57e-06	3550	101.2	17.536593
24	421.0	1.02832031	7.75	68.05	0.72495131	1.17e-06	12561	357.6	17.562034
25	438.0	1.50500488	11.1875	68.05	0.62189936	8.2e-07	851	24.3	17.53561
26	455.0	1.27246094	12.0	68.05	0.6605288	5.3e-07	1131	32.3	17.513353
27	473.0	2.36230469	12.1875	68.05	0.49613221	3e-07	842	24.0	17.521375
28	490.0	1.35791016	28.75	68.05	0.65696401	1.3e-07	757	21.6	17.499397
29	507.0	0.68847656	6.40625	68.05	0.81980291	3e-08	576	16.5	17.474565
30	525.0	1.75183105	13.0625	68.05	0.57418365	0.0	13587	388.1	17.502447
30	525.0	None	None	68.05	None	None	13587	388.1	17.504629
