# Loss curve from /home/ubuntu/fyh/megatron_output/gemma4_opt/p3_reshard/_bench/run_gbs4_no_ac_zero2_offload/v0-20260427-045340/logging.jsonl
# 31 steps, 30 valid loss values
# elapsed: 525s = 8.8min
# loss: first=1.9219  last=1.7518  min=0.6885  mean=1.5249
# NaN steps: 0

  step    elapsed      loss   grad_norm   mem_gib    tok/step  spark
     1        29s    1.9219     33.2500     55.36         919  ▄
     2        45s    2.7131    244.0000     56.32        2166  █
     3        62s    1.5947     41.0000     68.02       11968  ▃
     4        79s    1.8477     39.2500     68.05         221  ▄
     5        96s    1.7334   1240.0000     68.05         670  ▄
     6       112s    1.0940     12.5625     68.05        1097  ▁
     7       129s    1.9351     43.5000     68.05        5148  ▄
     8       146s    1.0874     16.6250     68.05         236  ▁
     9       163s    2.2041     17.7500     68.05         778  ▅
    10       180s    2.2446     17.3750     68.05        1289  ▆
    11       198s    1.7397     27.3750     68.05         929  ▄
    12       214s    1.2944      8.1250     68.05        1384  ▂
    13       231s    1.5107     11.5625     68.05        5735  ▃
    14       249s    1.4628     10.5000     68.05        4836  ▃
    15       266s    1.0210      8.8750     68.05        1036  ▁
    16       283s    1.1033      9.7500     68.05          86  ▁
    17       301s    1.7031     25.1250     68.05        9609  ▄
    18       319s    1.4674     14.0000     68.05       13702  ▃
    19       335s    0.8105      7.0000     68.05        1351   
    20       353s    0.9990     10.2500     68.05        7527  ▁
    21       370s    1.3145     11.5625     68.05         698  ▂
    22       387s    1.2373     11.1875     68.05         985  ▂
    23       403s    1.7407      8.1875     68.05        3550  ▄
    24       421s    1.0283      7.7500     68.05       12561  ▁
    25       438s    1.5050     11.1875     68.05         851  ▃
    26       455s    1.2725     12.0000     68.05        1131  ▂
    27       473s    2.3623     12.1875     68.05         842  ▆
    28       490s    1.3579     28.7500     68.05         757  ▂
    29       507s    0.6885      6.4062     68.05         576   
    30       525s    1.7518     13.0625     68.05       13587  ▄
    30       525s    0.0000      0.0000     68.05       13587  ?
