step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	10.0	2.3828125	219.0	64.91	0.55964464	3.33e-06	16303	817.1	9.975631
2	13.0	1.72851562	53.25	64.92	0.65392254	6.67e-06	16304	1227.7	6.639889
3	16.0	1.89550781	63.75	64.92	0.59918688	1e-05	16347	1516.7	5.388909
4	19.0	1.89160156	105.5	64.92	0.61823108	9.97e-06	16372	1720.4	4.758241
5	22.0	1.82128906	54.5	64.92	0.58983064	9.87e-06	16312	1861.8	4.380774
6	25.0	1.54931641	302.0	64.92	0.64410777	9.7e-06	16383	1983.7	4.129304
7	28.0	1.3046875	7.21875	64.92	0.66068861	9.47e-06	16369	2072.6	3.94881
8	31.0	1.24414062	4.21875	64.92	0.68484894	9.18e-06	16383	2147.3	3.814866
9	33.0	1.52246094	6.03125	64.92	0.61458541	8.83e-06	16377	2207.3	3.709709
10	37.0	1.25292969	8.25	64.92	0.6984715	8.43e-06	16379	2225.2	3.680343
11	40.0	1.52734375	8.8125	64.92	0.62420441	7.99e-06	16377	2270.2	3.60691
12	43.0	1.68847656	150.0	64.92	0.60227814	7.5e-06	16228	2288.2	3.545976
13	45.0	1.47558594	6.15625	64.92	0.64520337	6.98e-06	16286	2330.9	3.493489
14	48.0	1.23828125	5.8125	64.92	0.68398172	6.43e-06	16368	2372.7	3.449276
15	51.0	1.3203125	18.125	64.92	0.65244506	5.87e-06	16337	2394.9	3.41073
16	54.0	1.92041016	38.5	64.92	0.56596776	5.29e-06	16319	2416.3	3.376866
17	57.0	1.71679688	5.75	64.92	0.59153413	4.71e-06	16371	2445.3	3.347391
18	60.0	1.44921875	704.0	64.92	0.64758423	4.13e-06	16370	2441.1	3.353051
19	63.0	1.24316406	3.109375	64.92	0.68164633	3.57e-06	16382	2461.4	3.327742
20	66.0	1.48828125	5.5	64.92	0.63043821	3.02e-06	16348	2473.2	3.30502
21	69.0	1.45410156	3.953125	64.92	0.65663237	2.5e-06	16384	2494.2	3.284378
22	72.0	1.33642578	78.0	64.92	0.65007988	2.01e-06	16337	2501.5	3.265469
23	75.0	1.59765625	6.5	64.92	0.60476847	1.57e-06	16325	2512.6	3.248579
24	78.0	1.36621094	7.34375	64.92	0.64998656	1.17e-06	16330	2525.6	3.232898
25	80.0	1.453125	7.71875	64.92	0.65280445	8.2e-07	16380	2545.2	3.217813
26	84.0	1.36083984	4.34375	64.92	0.66492891	5.3e-07	16379	2529.0	3.238176
27	87.0	1.53515625	5.03125	64.92	0.61886213	3e-07	16370	2538.3	3.224544
28	90.0	1.30761719	5.34375	64.92	0.66356416	1.3e-07	16344	2544.4	3.211711
29	93.0	1.22949219	48.75	64.92	0.66077652	3e-08	16380	2559.3	3.200128
30	96.0	1.23291016	9.8125	64.92	0.67368294	0.0	16355	2563.8	3.18964
30	96.0	None	None	64.92	None	None	16355	2561.8	3.192065
