step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	10.0	2.3828125	220.0	64.91	0.55964464	3.33e-06	16303	840.7	9.696402
2	13.0	1.72851562	52.5	64.91	0.65392254	6.67e-06	16304	1292.8	6.305644
3	16.0	1.89746094	308.0	64.91	0.59936212	1e-05	16347	1578.1	5.179292
4	18.0	1.8984375	42.0	64.91	0.61747117	9.97e-06	16372	1774.1	4.614251
5	21.0	1.83740234	107.0	64.91	0.58940627	9.87e-06	16312	1907.8	4.275191
6	24.0	1.57080078	36.0	64.91	0.64117773	9.7e-06	16383	2023.3	4.048675
7	27.0	1.30664062	7.34375	64.91	0.66068861	9.47e-06	16369	2105.5	3.88728
8	30.0	1.24414062	33.25	64.91	0.68462431	9.18e-06	16383	2174.4	3.76719
9	33.0	1.52929688	140.0	64.91	0.61455221	8.83e-06	16377	2229.8	3.67232
10	36.0	1.25976562	6.125	64.91	0.69843553	8.43e-06	16379	2277.5	3.595876
11	39.0	1.54443359	8.5	64.91	0.62364692	7.99e-06	16377	2317.0	3.534098
12	42.0	1.70703125	177.0	64.91	0.60129454	7.5e-06	16228	2329.8	3.482769
13	45.0	1.49560547	8.5	64.91	0.6430689	6.98e-06	16286	2368.2	3.438514
14	48.0	1.25390625	21.25	64.91	0.68160183	6.43e-06	16368	2406.4	3.400946
15	51.0	1.33984375	8.6875	64.91	0.64993672	5.87e-06	16337	2424.8	3.368698
16	54.0	1.94482422	10.875	64.91	0.56435126	5.29e-06	16319	2424.6	3.365282
17	57.0	1.734375	13.9375	64.91	0.59063656	4.71e-06	16371	2451.5	3.33893
18	60.0	1.46386719	142.0	64.91	0.64679279	4.13e-06	16370	2469.0	3.315157
19	63.0	1.25390625	5.78125	64.91	0.68063197	3.57e-06	16382	2486.5	3.29416
20	67.0	1.50585938	22.5	64.91	0.62902125	3.02e-06	16348	2455.9	3.328373
21	69.0	1.46191406	17.75	64.91	0.65448216	2.5e-06	16384	2475.9	3.308655
22	72.0	1.34814453	28.75	64.91	0.64861536	2.01e-06	16337	2482.3	3.290696
23	75.0	1.61914062	10.8125	64.91	0.60237335	1.57e-06	16325	2492.6	3.274669
24	78.0	1.38574219	8.125	64.91	0.64795629	1.17e-06	16330	2505.0	3.25953
25	81.0	1.46289062	24.75	64.91	0.65227468	8.2e-07	16380	2523.8	3.245132
26	84.0	1.37353516	7.84375	64.91	0.66413902	5.3e-07	16379	2533.4	3.232632
27	87.0	1.55273438	8.875	64.91	0.61610796	3e-07	16370	2541.2	3.220935
28	90.0	1.32324219	23.75	64.91	0.66125477	1.3e-07	16344	2545.9	3.209873
29	93.0	1.25097656	7.4375	64.91	0.65943137	3e-08	16380	2559.5	3.199813
30	96.0	1.24902344	54.0	64.91	0.67290113	0.0	16355	2563.2	3.190352
30	96.0	None	None	64.91	None	None	16355	2561.3	3.192776
