step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	10.0	2.38671875	266.0	64.91	0.56016723	3.33e-06	16303	819.9	9.941463
2	12.0	1.72460938	362.0	64.91	0.65292949	6.67e-06	16304	1312.0	6.213319
3	15.0	1.89550781	47.75	64.91	0.59852096	1e-05	16347	1643.3	4.973838
4	17.0	1.89746094	400.0	64.91	0.61776853	9.97e-06	16372	1881.5	4.350849
5	20.0	1.92675781	37.75	64.91	0.58454535	9.87e-06	16312	2050.3	3.977943
6	22.0	1.67041016	59.0	64.91	0.63617523	9.7e-06	16383	2196.3	3.729689
7	25.0	1.34667969	15.9375	64.91	0.65793258	9.47e-06	16369	2304.2	3.552047
8	27.0	1.25585938	8.875	64.91	0.68290218	9.18e-06	16383	2395.9	3.418944
9	30.0	1.52734375	49.75	64.91	0.6146186	8.83e-06	16377	2470.3	3.314845
10	32.0	1.265625	7.1875	64.91	0.69760834	8.43e-06	16379	2535.1	3.230448
11	35.0	1.53808594	8.3125	64.91	0.62415796	7.99e-06	16377	2589.1	3.162732
12	37.0	1.70214844	10.1875	64.91	0.6020243	7.5e-06	16228	2611.5	3.10704
13	40.0	1.49121094	8.625	64.91	0.6430689	6.98e-06	16286	2661.7	3.059318
14	43.0	1.25195312	22.75	64.91	0.68090373	6.43e-06	16368	2689.6	3.042775
15	45.0	1.3359375	9.3125	64.91	0.64966057	5.87e-06	16337	2697.8	3.027876
16	49.0	1.93115234	51.75	64.91	0.56563495	5.29e-06	16319	2687.6	3.035973
17	51.0	1.72851562	8.375	64.91	0.59182135	4.71e-06	16371	2724.9	3.003993
18	54.0	1.4609375	5.34375	64.91	0.64690586	4.13e-06	16370	2751.4	2.97488
19	56.0	1.25097656	26.25	64.91	0.68075493	3.57e-06	16382	2777.3	2.949225
20	59.0	1.50195312	36.75	64.91	0.62807662	3.02e-06	16348	2793.4	2.926147
21	61.0	1.46386719	20.5	64.91	0.6550965	2.5e-06	16384	2819.9	2.905078
22	63.0	1.34521484	19.5	64.91	0.64888164	2.01e-06	16337	2830.2	2.886185
23	66.0	1.61523438	11.6875	64.91	0.60375236	1.57e-06	16325	2845.1	2.868939
24	68.0	1.38378906	264.0	64.91	0.64786672	1.17e-06	16330	2861.9	2.852997
25	71.0	1.4609375	4.8125	64.91	0.6523409	8.2e-07	16380	2886.2	2.837675
26	73.0	1.36865234	4.1875	64.91	0.66465245	5.3e-07	16379	2899.8	2.824134
27	76.0	1.54785156	12.625	64.91	0.61677683	3e-07	16370	2911.3	2.81146
28	78.0	1.32324219	4.78125	64.91	0.66223451	1.3e-07	16344	2919.1	2.799509
29	81.0	1.25	13.1875	64.91	0.65839193	3e-08	16380	2936.8	2.788791
30	83.0	1.24707031	14.1875	64.91	0.67278085	0.0	16355	2943.0	2.778616
30	83.0	None	None	64.91	None	None	16355	2940.2	2.781287
