step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	10.0	2.38671875	264.0	64.91	0.56016723	3.33e-06	16303	801.0	10.177023
2	13.0	1.72460938	358.0	64.91	0.65292949	6.67e-06	16304	1286.8	6.335261
3	15.0	1.88964844	64.0	64.91	0.59911678	1e-05	16347	1616.9	5.05516
4	18.0	1.89648438	37.0	64.91	0.61856147	9.97e-06	16372	1854.9	4.413232
5	20.0	1.82373047	37.5	64.91	0.59029358	9.87e-06	16312	2024.0	4.029617
6	23.0	1.55322266	302.0	64.91	0.64375045	9.7e-06	16383	2170.9	3.773315
7	25.0	1.30664062	7.5625	64.91	0.66100815	9.47e-06	16369	2279.6	3.590352
8	28.0	1.2421875	10.0	64.91	0.68499869	9.18e-06	16383	2372.3	3.452948
9	30.0	1.52246094	9.0	64.91	0.6162783	8.83e-06	16377	2447.4	3.345773
10	33.0	1.25976562	6.78125	64.91	0.69883115	8.43e-06	16379	2513.0	3.258794
11	35.0	1.53369141	12.3125	64.91	0.6244367	7.99e-06	16377	2567.9	3.188832
12	38.0	1.69335938	20.375	64.91	0.6020243	7.5e-06	16228	2592.0	3.130436
13	40.0	1.47802734	7.0625	64.91	0.64504526	6.98e-06	16286	2642.9	3.081136
14	43.0	1.24316406	6.9375	64.91	0.68283937	6.43e-06	16368	2670.8	3.064301
15	46.0	1.32421875	6.09375	64.91	0.65122541	5.87e-06	16337	2677.4	3.050905
16	49.0	1.92138672	8.5	64.91	0.56620549	5.29e-06	16319	2668.4	3.057801
17	51.0	1.71679688	53.75	64.91	0.59153413	4.71e-06	16371	2706.5	3.024342
18	54.0	1.45019531	44.0	64.91	0.64799879	4.13e-06	16370	2733.6	2.994215
19	56.0	1.24121094	8.625	64.91	0.68201518	3.57e-06	16382	2760.4	2.967369
20	59.0	1.49023438	11.6875	64.91	0.63041197	3.02e-06	16348	2776.4	2.944072
21	61.0	1.45507812	3.890625	64.91	0.65540368	2.5e-06	16384	2803.3	2.922308
22	64.0	1.33837891	65.0	64.91	0.65007988	2.01e-06	16337	2814.1	2.902732
23	66.0	1.59570312	28.0	64.91	0.60404268	1.57e-06	16325	2829.2	2.885131
24	69.0	1.37011719	5.28125	64.91	0.64932971	1.17e-06	16330	2846.4	2.868542
25	71.0	1.45703125	4.71875	64.91	0.65267201	8.2e-07	16380	2870.9	2.852802
26	74.0	1.36621094	3.671875	64.91	0.66481043	5.3e-07	16379	2884.7	2.838991
27	76.0	1.53515625	159.0	64.91	0.61827195	3e-07	16370	2896.0	2.82628
28	79.0	1.31152344	40.0	64.91	0.66426397	1.3e-07	16344	2904.0	2.814097
29	81.0	1.23535156	5.53125	64.91	0.65967594	3e-08	16380	2921.8	2.803093
30	84.0	1.23535156	8.1875	64.91	0.67530671	0.0	16355	2928.4	2.792453
30	84.0	None	None	64.91	None	None	16355	2925.2	2.795528
