step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	38.0	2.22021484	222.0	76.54	0.58330753	3.33e-06	32607	429.6	37.953244
2	59.0	1.95654297	86.5	76.54	0.60499328	6.67e-06	32719	551.1	29.687813
3	82.0	2.08789062	90.5	76.54	0.58946735	1e-05	32695	600.9	27.207274
4	105.0	1.58349609	34.0	76.54	0.65215375	9.97e-06	32752	626.2	26.151767
5	127.0	1.64013672	25.375	76.54	0.64112479	9.87e-06	32756	643.7	25.444038
6	151.0	1.74633789	88.5	76.54	0.60338977	9.7e-06	32605	647.1	25.193481
7	173.0	1.39233398	30.5	76.54	0.6623308	9.47e-06	32654	659.4	24.758893
8	199.0	1.55004883	19.875	76.54	0.6190454	9.18e-06	32656	657.5	24.831721
9	223.0	1.63378906	10.75	76.54	0.61516539	8.83e-06	32741	659.8	24.812003
10	247.0	1.4140625	9.125	76.54	0.64957604	8.43e-06	32730	662.5	24.702475
11	271.0	1.40771484	5.65625	76.56	0.64933336	7.99e-06	32721	665.2	24.594167
12	293.0	1.51391602	10.125	76.56	0.62644761	7.5e-06	32655	668.6	24.419676
13	316.0	1.41381836	5.25	76.56	0.65913758	6.98e-06	32759	673.3	24.327185
14	340.0	1.43554688	7.21875	76.56	0.64004074	6.43e-06	32714	673.3	24.292483
15	364.0	1.24316406	46.5	76.62	0.66673741	5.87e-06	32735	674.4	24.268624
16	389.0	1.31604004	3.8125	76.62	0.66530921	5.29e-06	32716	672.0	24.341169
17	413.0	1.20800781	54.75	76.62	0.68619432	4.71e-06	32626	671.2	24.302912
18	440.0	1.26904297	3.171875	76.62	0.67744535	4.13e-06	32751	670.4	24.427975
19	466.0	1.30078125	4.96875	76.62	0.66706883	3.57e-06	32666	666.5	24.507108
20	490.0	1.50756836	17.5	76.62	0.6393333	3.02e-06	32737	668.1	24.501271
21	514.0	1.34521484	3.1875	76.62	0.65237064	2.5e-06	32722	668.3	24.482993
22	538.0	1.56542969	2.984375	76.62	0.61866267	2.01e-06	32742	669.8	24.442173
23	563.0	1.3515625	38.5	76.62	0.6486737	1.57e-06	32681	667.2	24.490762
24	588.0	1.46520996	12.1875	76.62	0.63458682	1.17e-06	32644	666.1	24.505278
25	612.0	1.609375	10.5	76.62	0.60747001	8.2e-07	32692	667.7	24.482226
26	636.0	1.61383057	14.8125	76.62	0.62163201	5.3e-07	32647	667.2	24.465972
27	661.0	1.52954102	5.71875	76.62	0.62632948	3e-07	32690	668.0	24.466866
28	685.0	1.48730469	5.84375	76.62	0.62401951	1.3e-07	32691	668.2	24.460335
29	709.0	1.38598633	17.875	76.62	0.6504148	3e-08	32724	669.5	24.437417
30	734.0	1.32055664	6.71875	76.62	0.64804702	0.0	32701	668.5	24.457437
30	734.0	None	None	76.62	None	None	32701	668.5	24.459862
